acrobatics,n. 杂技；巧妙手法
platform ticket,"n. 月台票
 站台票"
ticket gate,找不到解释
examine tickets,找不到解释
ticket inspector,"na. 查票员
 检票员；验票员；火车站汽车站机场的检票员"
station staff, 车站职工；车站全体员工；车站职员
pull into the station,找不到解释
pull out of the station,找不到解释
time of arrival,"un. 到达时间；到达时刻；运到时间
 抵达时间；到达的时间；到场时间"
time of departure,"un. 开航时间；开出时间
 出发时间；发车时间；发送时间"
on schedule,"na. 按时；按时间表；按照预定计划
 准时；按预定时间；正点"
book a hard seat,找不到解释
book a berth,预订铺位
miss a train, 没赶上火车；误火车
ride the rails, 乘火车（尤指不买票偷乘火车）
metro-liner, 都会特急；外观图装为都会公车路线
international train,国际列车
limited express train,限制座席和停车站的特别快车
through train,"n. 直达列车
 直达车；直通车；直达火车"
commuter train, 市郊往返列车；通勤火车；通勤列车
bullet train,"n. 子弹头列车；高速火车
 子弹列车；动车；子弹火车"
special train,"n. 专列
 专车；专门列车；专用列车"
observation car, <美>（火车的）游览车厢（有特大车窗或透明车顶），了望车
hard seat,"n. 硬座
 硬坐；硬座票；火车中的硬座"
aisle seat,"un. 靠通道的座位
 靠走道座位；靠走道的座位；靠近过道的座位"
window seat,"na. 窗下座位；(飞机等上的)靠窗座位
 靠窗的座位；靠窗户的座位；靠窗位置"
upper berth,"n. 上铺
 上层铺位；上舖；双层铺的上面一个铺位"
lower berth,"un. 下铺
 下层铺位；下舖；下层床铺"
sleeping berth,"un. 卧铺
 睡舖"
hard sleeper,"n. 硬席卧铺
 硬卧；硬卧车厢；车次有硬卧车厢"
dining-car,na. 餐车
buffet car,"n. （火车）餐车
 自助餐车；快餐车；酒吧车"
public transport company,公共交通公司
public transport,"n. 公共交通；公交车辆
 公共运输；公共交通展区；公共交通工具"
bus line,"un. 总线线路；公共汽车路线
 母线；公共汽车线路；乘车路线"
double-decker bus,n. 双层巴士
single-decker,单层公共汽车
trolley bus,"n. 无轨电车
 无轨客车；无轨电动公车；公共汽车型的船轨电车"
cross-town bus,找不到解释
long-distance bus,n. 长途汽车
rush hour bus,找不到解释
night bus, 夜班车
first bus,找不到解释
last bus, 末班车；最末一班公共汽车；最后一趟巴士
one-man bus,找不到解释
sightseeing bus,"un. 游览车
 观光巴士；旅游客车；观光车"
deadhead cab,找不到解释
miss the bus,"na. 失掉机会；事业失败；失去好机会
 坐失良机；错过良机；错过机会"
bus token,找不到解释
jump the bus,找不到解释
peak traffic,"un. 高峰交通量；峰值业务量
 高峰时刻的交通；交通高峰时刻"
rush hour,"n. (上,下班的)高峰期
 尖峰时刻；高峰时间；尖峰时间"
commutation,n. 减刑；交换；经常来往；代偿
traffic jam,"n. 堵车；交通阻塞
 交通堵塞；交通拥挤；塞车"
traffic accident,"n. 交通事故；车祸
 交通意外；交通肇事；交通事故报警"
start the engine,"un. 开车
 发动引擎；启动发动机；车就开始发动引擎"
shift gears,"na. 换挡；改变方式
 换档；变速；调档"
step on the accelerator,找不到解释
step on the brake,找不到解释
speed up,"na. 加快(机器等的)速度；使加紧做
 加速；加快速度；增加速度"
slow down,"na. 闲下来；减缓；放慢速度；减速
 慢下来；慢点；慢驶"
hit the brakes,找不到解释
turn left,"un. 向左转
 转左；向左走；向左拐"
turn right,"na. 转往右面
 向右转；向右拐；转右"
make a U-turn,找不到解释
have a flat tire,"车胎爆了,车胎跑气"
change the tire,找不到解释
park the car,找不到解释
break down,"v. 分解；抛锚；分析；划分
 损坏；出故障；瓦解"
back seat,"n. （车辆的）后座
 上密封；密封座；上密封座"
license plate,"n. （车辆的）牌照
 车牌；汽车牌照；汽车号牌"
spare tire,"n. 备胎；游泳圈
 备用轮胎；备用胎；备用车胎"
driver's seat,"un. 领导身分
 驾驶座；司机座；驾驶员座"
passenger seat,"n. （汽车驾驶员旁边的）乘客座位；副驾驶座
 乘客座椅；旅客席；驾驶员旁边的座位"
cabin cruiser,"un. 游览船；舱式游艇；有舱位大汽艇
 可住宿的游艇；警察巡逻车；员警巡逻车"
passenger ship,"un. 客船；客轮
 旅客船；客贷船；船舶法规上所称之客轮"
ocean liner,"na. 远洋定期客轮
 远洋班轮；外洋轮船；定期远洋船"
container ship,"n. 集装箱船
 货柜船；集装箱运货船；集装箱船舶"
passenger cabin,"n. 客舱
 旅客舱室；机舱；座舱"
first mate,"n. （商船的）大副
 上坐第二把交椅的大副；枫味；初恋情人"
second mate,"na. 二副
 仅次于大副的船员职称；船副；二付"
third mate,"un. 三副
 三伙；三副三副"
hot air balloon, 热气球；热气球之旅；热气球旅行
supersonic transport aircraft,找不到解释
first class seating,找不到解释
tourist class seating,找不到解释
economy class seating,找不到解释
seat belt,"n. （汽车或飞机上的）安全带
 座椅安全带；保险带；座位安全带"
life vest,"n. 救生衣
 救生背心；安全服；救生服"
oxygen mask,"n. 氧气面具；氧气面罩
 氧气罩；输氧面罩；氧气口罩"
survival parachute,找不到解释
air terminal,"n. （机场）航站楼；城市中心民航班车站
 航空集散站；风道末端；航空站"
running light,"un. 机器工作指示灯；航行灯；空载运行
 无负载运行；舷灯；行车灯光"
control tower,"n. 控制塔
 塔台；机场控制塔；指挥塔"
free luggage allowance,免费携带行李量
flight number,"n. 班机编号
 航班号；班机号码；航班号码"
flight engineer,"na. 机上机械员
 飞行工程师；随机工程师；飞航工程师"
air hostess,"n. （客机上的）女乘务员；空中小姐
 空姐；飞机餐厅空姐服务；空中小姐有空中女主人"
take off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
forced landing,"n. （航空器的）迫降
 强迫降落；强行登陆；紧急降落"
air-crash,n. 飞机失事，飞机坠毁
air piracy,"na. 空中劫持
 劫机；空中强盗；空中海盗"
hijack an airplane,找不到解释
check-in procedure,找不到解释
flight regularity,找不到解释
flight irregularity,找不到解释
departure airport,找不到解释
arrival airport,找不到解释
security check,"n. 安全调查
 安全检查；安检；安检处"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
team selection,找不到解释
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
personality,n. 个性；品格；名人
optimism,n. 乐观；乐观主义
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
enthusiasm,n. 热心，热忱，热情
aggressiveness,n. 攻击性；进取精神；霸气
energy,n.  能量；精力；活力；精神
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
positive attitude, 积极的态度；积极态度；积极进取
personal relationship, 人际关系；个人关系；私人关系
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
guest appearance,以客人身份露面
rise to stardom,找不到解释
film on location,找不到解释
scenario,n. 方案；情节；剧本；设想
edit,"vt. 编辑；校订
n. 编辑工作"
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
subtitle,"n. 副标题；说明或对白的字幕
vt. 在…上印字幕；给…加副标题"
narration,n. 叙述，讲述；故事
narrator,n. 叙述者；解说员
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
superstar,n. 超级明星，巨星；超级星体
fade out,"na. (使)渐隐；(使)(声音)渐消
 淡出；渐弱；逐渐模糊"
fade in,"na. (使)渐现；(使)(声音)渐高
 淡入；渐强；渐显"
trick drawing,找不到解释
movie king,找不到解释
movie queen, 影后
title role,剧名角色；片名角色（戏剧或电影中其名被用作剧名或片名的）
leading role, 主角；主导作用；龙头
hero,n. 英雄；男主角，男主人公
leading man,"n. 饰主角的女演员（或男演员）
 男主角；演主角的男演员；男主演"
heroine,n. 女主角；女英雄；女杰出人物
leading lady,"n. 饰主角的女演员（或男演员）
 女主角；饰女主角的演员；饰演女主角的女演员"
film extra,找不到解释
stand-in,n. 替身
stunt man,"n. 男特技演员
 特技替身演员；拍摄危险场面时的替身演员；男替身"
theatre,n. 电影院，戏院；戏剧；阶梯式讲堂
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
comedy,n. 喜剧；喜剧性；有趣的事情
tragedy,n. 悲剧；灾难；惨案
melodrama,n. 情节剧；音乐剧；耸人听闻的事件，闹剧
pantomime,"n. 哑剧；舞剧；手势
vi. 打手势；演哑剧
vt. 打手势；演哑剧"
first night,"n. （戏剧、电影等的）首场；新年前夜的公众庆祝活动
 第一夜；首夜演出；初夜"
premiere,"n. 初次的演出；女主角
vi. 初次公演；首次露面
vt. 初次公演；初次上演
adj. 首位的；初次的；女主角的"
prologue,"n. 开场白；序言
vt. 加上…前言；为…作序"
entrance,"n. 入口；进入
vt. 使出神，使入迷"
exit,"n. 出口，通道；退场
vi. 退出；离去"
intermission,n. 幕间休息；暂停；中断
performance,n. 性能；绩效；表演；执行；表现
rehearsal,n. 排演；预演；练习；训练；叙述
aperture,n. 孔，穴；（照相机，望远镜等的）光圈，孔径；缝隙
cinecamera,n. 电影摄影机
eyepiece,n.  目镜， 接目镜
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
shutter,"n. 快门；百叶窗；关闭物；遮板
vt. 为…装百叶窗；以百叶窗遮闭"
viewfinder,n. 取景器；反光镜；检像器
sunshade,n. 遮阳伞；天棚；帽遮
tripod,n.  三脚架；三脚桌
flashlight,n. 手电筒；闪光灯
spool,"n. 线轴；缠线框
vt. 缠绕；卷在线轴上"
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
amphitheatre,n. 圆形剧场；阶梯教室（等于amphitheater）
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
wings,n.  翅膀（wing的复数形式）；飞行章；女童军戴的一种翼形章
property,n. 性质，性能；财产；所有权
footlight,n. 舞台脚光
poster,n. 海报，广告；招贴
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
cloakroom,n. 衣帽间；寄物处；（英）盥洗室
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
box,"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击"
usher,"n. 引座员，带位员；接待员；门房
vi. 作招待员；当引座员
vt. 引导，招待；迎接；开辟"
applause,n. 欢呼，喝采；鼓掌欢迎
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
encore,"n. 再演唱的要求；经要求而再唱
vt. 要求再演或唱
int. 再来一个"
playwright,n. 剧作家
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
audition,"n. 听力，听觉；试听
vt. 对…进行面试；让…试唱
vi. 试听；试音"
clown,"n. 小丑；乡下人；粗鲁笨拙的人
vi. 扮小丑；装傻"
box office,"n. 票房；售票处
 票房收入；票房作战；电影票房"
historical play, 历史剧
one-act play, 独幕剧
many-act play,找不到解释
musical comedy,"na. 音乐(喜)剧
 音乐喜剧；音乐剧；歌舞喜剧"
soap opera,"n. 肥皂剧
 连续剧；电视剧；泡沫剧"
dress rehearsal,"n. 彩排
 预演；带妆彩排；总彩排"
run-in,n. 试车；插入部分；争论
special performance, 特殊性能；特别演出；专场
road show,"un. 巡回放映
 路演；巡回演出；说明会"
long-running play,找不到解释
title role,剧名角色；片名角色（戏剧或电影中其名被用作剧名或片名的）
positive role, 积极作用；正面角色
male supporting role,找不到解释
female supporting role,找不到解释
minor part,找不到解释
walking part, 行走部；行走部分
transformation scene,(在观众眼前) 变换的场景
curtain call,"n. （演员的）谢幕
 大锣大鼓；要求演员谢幕的掌声和呼声；死亡谢幕"
protocol of the curtain calls,找不到解释
drop scene,"un. 无台吊幕
 可升降幕布；结局；可升降的布景幕布"
walk-through,n. （电视剧、戏剧等的）初排；不拍摄的排练；草率的排练
television camera,"na. 电视摄像机
 电视摄象机；电视摄影机；一个电视相机"
wide-angle lens,"n. 广角透镜
 广角镜头；广角物镜；大视角镜头"
zoom lens,"n. 变焦镜头
 变焦距镜头；变焦头；可变焦距的镜头"
open-air theatre,找不到解释
arena theatre, 舞台在观众席中央的剧院
experimental theatre, 实验剧场；实验戏剧；实验剧团
revolving stage,"un. 旋转台；旋转式舞台
 旋转舞台；指剧院的可转动的舞台；旋转式镜台"
theater-in-the-round,n. 舞台起码有三面被席次包围的剧场
theatrical costume,戏装
stage setting,"na. 舞台装置
 舞台布景；场地背景；舞台布置"
sky cloth,天幕
dressing room,"n. （演员的）化装间；（在英式英语中指运动员的）更衣室；梳妆室
 化妆室；试衣间；换药室"
stage photo,找不到解释
stage name,"n. （演员的）艺名
 笔名艺名；辰亦儒艺名；艺名或团队名"
box office,"n. 票房；售票处
 票房收入；票房作战；电影票房"
privileged ticket,找不到解释
concert season ticket,找不到解释
front row ticket,找不到解释
back row ticket,找不到解释
ticket stub,票根
ticket tout, 票券黄牛
orchestra pit,"n. 乐池
 乐队池；有乐池；还有乐团并没有躲在地下"
emergency exit,"na. 太平门
 紧急出口；安全出口；安全门"
theatre-goer,n. 爱看戏的人
first nighter,"na. 经常观看首夜演出者
 戏剧；爱看头场戏者"
