disastrous,adj. 灾难性的；损失惨重的；悲伤的
symbol,n. 象征；符号；标志
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
lawn,n. 草地；草坪
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
manual,"adj. 手工的；体力的
n. 手册，指南"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
crucial,adj. 重要的；决定性的；定局的；决断的
necessity,n. 需要；必然性；必需品
additional,adj. 附加的，额外的
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
arise,vi. 出现；上升；起立
exert,vt. 运用，发挥；施以影响
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
generate,vt. 使形成；发生；生殖；产生物理反应
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
consequently,adv. 因此；结果；所以
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
beneficial,adj. 有益的，有利的；可享利益的
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
predecessor,n. 前任，前辈
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
horizon,n.  地平线；视野；眼界；范围
destined,"v. 注定（destine的过去式和过去分词）
adj. 注定的；命定的；去往…的"
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
millimetre,n. 毫米；公厘
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
campus,n. （大学）校园；大学，大学生活；校园内的草地
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
sediment,n. 沉积；沉淀物
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
impair,vt. 损害；削弱；减少
venue,n. 审判地；犯罪地点；发生地点；集合地点
reel,"n. 蹒跚；眩晕；旋转
vt. 卷；使旋转
vi. 卷；眩晕；蹒跚地走；退缩"
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
symmetry,n. 对称（性）；整齐，匀称
fret,"n. 烦躁；焦急；磨损
vi. 烦恼；焦急；磨损
vt. 使烦恼；焦急；使磨损"
recur,vi. 复发；重现；采用；再来；循环；递归
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
envisage,vt. 正视，面对；想像
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
decimal,"n. 小数
adj. 小数的；十进位的"
reproach,"n. 责备；耻辱
vt. 责备；申斥"
contempt,n. 轻视，蔑视；耻辱
preclude,vt. 排除；妨碍；阻止
intimidate,vt. 恐吓，威胁；胁迫
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
infringe,"vt. 侵犯；违反；破坏
vi. 侵犯；侵害"
eject,vt. 喷射；驱逐，逐出
henceforth,adv. 今后；自此以后
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
spinal,"n. 脊椎麻醉
adj. 脊髓的；脊柱的；针的；脊骨的；尖刺的"
smartphone,n. 智能手机
assortment,n. 分类；混合物
toil,"n. 辛苦；苦工；网；圈套
vt. 费力地做；使…过度劳累
vi. 辛苦工作；艰难地行进"
halfway,"adj. 中途的；不彻底的
adv. 到一半；在中途"
cliché,找不到解释
coup,"n. 政变；妙计；出乎意料的行动；砰然的一击
vt. 使…颠倒；使…倾斜
vi. 推倒；倾斜；溢出"
ware,"n. 陶器，器皿；制品；器具；货物
vt. 留心；小心"
prerequisite,"n. 先决条件
adj. 首要必备的"
cookie,n. 饼干；小甜点
lotion,n. 洗液；洗涤剂
wharf,"n. 码头；停泊处
vt. 使靠码头；为…建码头；把货卸在码头上
vi. 靠码头"
stifle,"n. （马等的）后膝关节；（马等的） 后膝关节病
vt. 扼杀；使窒息；藏匿
vi. 窒息；被扼杀"
allude,vi. 暗指，转弯抹角地说到；略为提及，顺便提到
chore,n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
wither,"vi. 枯萎；凋谢；衰弱
vt. 使凋谢；使畏缩；使衰弱"
willpower,n. 意志力；毅力
whereabouts,"n. 下落；行踪；去向；所在之处
adv. 在何处；靠近什么地方"
vest,"n. 背心；汗衫
vt. 授予；使穿衣
vi. 归属；穿衣服"
buffer,"n.  缓冲区；缓冲器， 减震器
vt. 缓冲"
wholesome,adj. 健全的；有益健康的；合乎卫生的；审慎的
trek,"n. 艰苦跋涉
vi. 艰苦跋涉
vt. （牛）拉（货车）；搬运"
pending,"prep. 在…期间；直到…时为止；在等待…之际
v. 待定；悬而不决（pend的ing形式）
adj. 未决定的；行将发生的"
cuisine,n. 烹饪，烹调法
wink,"n. 眨眼；使眼色；闪烁；瞬间
vt. 眨眼
vi. 眨眼；使眼色；闪烁"
merchandise,"n. 商品；货物
vt. 买卖；推销
vi. 经商"
mule,n. 骡；倔强之人，顽固的人；杂交种动物
colon,n.  结肠；冒号（用于引语、说明、例证等之前）；科郎（哥斯达黎加货币单位）
zeal,n. 热情；热心；热诚
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
calorie,n. 卡路里（热量单位）
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
apparatus,n. 装置，设备；仪器；器官
consensus,n. 一致；舆论；合意
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
theoretical,adj. 理论的；理论上的；假设的；推理的
hemisphere,n. 半球
species,"n.  物种；种类
adj. 物种上的"
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
anxious,adj. 焦虑的；担忧的；渴望的；急切的
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
logo,n. 商标，徽标；标识语
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
applause,n. 欢呼，喝采；鼓掌欢迎
defensive,"n. 防御；守势
adj. 自卫的；防御用的"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
mercy,n. 仁慈，宽容；怜悯；幸运；善行
protect,vt. 保护，防卫；警戒
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
waterproof,"n. 防水材料
vt. 使防水
adj. 防水的，不透水的"
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
describe,vt. 描述，形容；描绘
ache,"n. 疼痛
vi. 疼痛；渴望"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
ancestor,n. 始祖，祖先；被继承人
passport,n. 护照，通行证；手段
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
vitamin,n.  维生素； 维他命
intact,adj. 完整的；原封不动的；未受损伤的
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
licence,"n. 许可证，执照；特许
vt. 特许，许可；发给执照"
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
shaft,"n. 拍杆； 轴；箭杆；杆状物
vt. 利用；在……上装杆"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
personality,n. 个性；品格；名人
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
disaster,n. 灾难，灾祸；不幸
thoughtful,adj. 深思的；体贴的；关切的
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
modify,"vt. 修改，修饰；更改
vi. 修改"
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
publicity,n. 宣传，宣扬；公开；广告；注意
election,n. 选举；当选；选择权；上帝的选拔
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
gaze,"n. 凝视；注视
vi. 凝视；注视"
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
graphic,adj. 形象的；图表的；绘画似的
satisfactory,adj. 满意的；符合要求的；赎罪的
mysterious,adj. 神秘的；不可思议的；难解的
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
multitude,n. 群众；多数
consistent,adj. 始终如一的，一致的；坚持的
loyalty,n. 忠诚；忠心；忠实；忠于…感情
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
fibre,n. 纤维；纤维制品
senator,n. 参议员；（古罗马的）元老院议员；评议员，理事
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
curfew,n. 宵禁；宵禁令；晚钟；打晚钟时刻
embed,vt. 栽种；使嵌入，使插入；使深留脑中
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
rebound,"n. 回弹；篮板球
v. 重新装订（rebind的过去式和过去分词）
vt. 使弹回
vi. 回升；弹回"
distil,"vt. 蒸馏；提取…的精华；使渗出
vi. 蒸馏；提炼；渗出"
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
grid,n. 网格；格子，栅格；输电网
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
validate,vt. 证实，验证；确认；使生效
inductive,adj.  归纳的； 感应的；诱导的
endow,vt. 赋予；捐赠；天生具有
compile,vt. 编译；编制；编辑； 汇编
omelette,n. 煎蛋卷
dilate,"vt. 使扩大；使膨胀
vi. 扩大；膨胀；详述"
tempo,n. 速度，发展速度；拍子
intermediary,"n. 中间人；仲裁者；调解者；媒介物
adj. 中间的；媒介的；中途的"
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
aerospace,n. 航空宇宙； 航空航天空间
diagnosis,n. 诊断
definitive,"n. 限定词
adj. 决定性的；最后的；限定的"
pervasive,adj. 普遍的；到处渗透的；流行的
psychiatric,adj. 精神病学的；精神病治疗的
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
metro,n. 地铁；大都市；伦敦地下铁道；麦德隆（财富500强公司之一，总部所在地德国，主要经营零售）
repute,"n. 名誉；声望
vt. 名誉；认为；把…称为"
intangible,adj. 无形的，触摸不到的；难以理解的
pizza,n. 比萨饼（一种涂有乳酪核番茄酱的意大利式有馅烘饼）
cosmopolitan,"n. 四海为家者；世界主义者；世界各地都有的东西
adj. 世界性的；世界主义的，四海一家的"
maritime,adj. 海的；海事的；沿海的；海员的
custody,n. 保管；监护；拘留；抚养权
coral,"n. 珊瑚；珊瑚虫
adj. 珊瑚的；珊瑚色的"
pant,"n. 气喘；喘息；喷气声
vt. 气喘
vi. 喘息；渴望；气喘吁吁地说出某事"
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
havoc,"n. 大破坏；浩劫；蹂躏
vt. 严重破坏
vi. 损毁"
harass,vt. 使困扰；使烦恼；反复袭击
tenure,"n. 任期；占有
vt. 授予…终身职位"
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
censor,"n. 检查员； 潜意识压抑力；信件检查员
vt. 审查，检查；检查和删节"
Celsius,找不到解释
allot,vt. 分配；拨给；分派
conducive,adj. 有益的；有助于…的
cram,"n. 死记硬背；极度拥挤
adj. 填鸭式学的
vi. 狼吞虎咽地吃东西；死记硬背功课
vt. 填满，塞满；死记硬背；猛吃"
teen,"n. 青少年（等于teenager）；愤怒；悲哀
adj. 十几岁的（等于teenaged）"
