source,n. 来源；水源；原始资料
exclusively,adv. 唯一地；专有地；排外地
solely,adv. 单独地，唯一地
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
task,"n. 工作，作业；任务
vt. 分派任务"
job,"n. 工作；职业
vt. 承包；代客买卖
vi. 做零工"
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
group,"n. 组；团体
adj. 群的；团体的
vt. 把…聚集；把…分组
vi. 聚合"
triggered,"v. 引起；引爆（trigger的过去分词）；扣…的扳机
adj. 触发的；起动的；有扳机的"
initiated,v. 开始，发起；开创（initiate的过去式）
severely,adv. 严重地；严格地，严厉地；纯朴地
greatly,adv. 很，大大地；非常
impractical,adj. 不切实际的，不现实的；不能实行的
unrealistic,adj. 不切实际的；不实在的
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
 占便宜；充分利用；对……加以利用"
optimal,adj. 最佳的；最理想的
most favorable,
excrete,vt. 排泄；分泌
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
fixed,"adj. 确定的；固执的；<美口>处境...的；准备好的
v. 修理（过去式）"
eminent,adj. 杰出的；有名的；明显的
distinguished,"v. 区别（distinguish的过去式）
adj. 著名的；卓著的；高贵的"
conceivable,adj. 可能的；想得到的，可想像的
imaginable,adj. 可能的；可想像的
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
moreover,adv. 而且；此外
in addition,"na. 加之
 另外；此外；又"
readily,adv. 容易地；乐意地；无困难地
easily,adv. 容易地；无疑地
edible,"n. 食品；食物
adj. 可食用的"
fit to be eaten,
indicator,n. 指示器； 指示剂； 指示符；压力计
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
segregated,"v. 隔离（segregate的过去式）；分离
adj. 被隔离的"
separated,"v. 分开；隔开（separate的过去式和过去分词）
adj. 分开的；分居；不在一起生活的"
proposed,"v. 提议；计划（propose的过去式和过去分词）
adj. 被提议的；所推荐的"
suggested,"v. 建议；暗示（suggest的过去分词）
adj. 建议的；暗示的"
coincidence,n. 巧合；一致；同时发生
at the same time and by chance,
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
accept the truth of,
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
motivation,n. 动机；积极性；推动
generated,"v. （使）产生（generate的过去分词）
adj. 生成的；发生的"
produced,"v. 产生；制造（produce的过去式和过去分词）；创作
adj. 引长的；畸形地伸长的"
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求"
durable,"n. 耐用品
adj. 耐用的，持久的"
long-lasting,adj. 持续时间长的
posed,v. 形成（pose的过去分词）；摆姿势；主张；装模作样
presented,v. 提出（present的过去分词）；呈递，提供
hastened,"加速
赶快"
hurried,"v. 催促；匆忙进行；急派（hurry的过去分词）
adj. 匆忙的；草率的"
courteous,adj. 有礼貌的；谦恭的
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
a case in point,"na. 范例
 恰当的例子；一个恰当的例子；例证"
a good example,
barring,"prep. 除非；不包括；除…以外
v. 阻拦（bar的ing形式）"
excluding,"prep. 将……排除在外；不包括……
v. 排除；除外；拒绝（exclude的ing形式）"
the course of change,
the way the change developed,
elevated,"n. 高架铁路
adj. 提高的；高尚的；严肃的；欢欣的
v. 提高；抬起；振奋；提拔（elevate的过去分词）"
high,"n. 高水平；天空；由麻醉品引起的快感；高压地带
adj. 高的；高级的；崇高的；高音调的
adv. 高；奢侈地"
ignored,"v. 忽略；不顾（ignore的过去分词）；不理会
adj. 被忽视的；被忽略的"
paid no attention,
embraced,"包含
拥抱
接受"
adopted,"v. 采用；接受（adopt的过去式和过去分词）
adj. 被收养的；被采用的"
prosperity,n. 繁荣，成功
wealth,n. 财富；大量；富有
inadvertently,adv. 非故意地，无心地
unintentionally,adv. 无意地；非故意地；非存心地
overwhelmingly,adv. 压倒性地；不可抵抗地
without doubt,"na. 无疑
 毫无疑问；毫无疑问地；无疑地"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大"
spurt,"n. 冲刺；喷射
vi. 冲刺；喷出；迸发
vt. 喷射；喷出"
sudden increase,
era,n. 时代；年代；纪元
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号
adj. 某一时代的"
unprecedented,adj. 空前的；无前例的
not previously experienced,
suffice,"vt. 使满足；足够…用；合格
vi. 足够；有能力"
be enough,
pragmatic,adj. 实际的；实用主义的；国事的
practical,adj. 实际的；实用性的
founding,"n.  铸造；溶解
adj. 创办的；发起的
v.  铸造；建造；以…为基础（found的ing形式）"
establishment,n. 确立，制定；公司；设施
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
piece,"n. 块；件；篇；硬币
vt. 修补；接合；凑合"
massively,adv. 大量地；沉重地；庄严地
extensively,adv. 广阔地；广大地
scrutiny,n. 详细审查；监视；细看；选票复查
close observation,
undoubtedly,adv. 确实地，毋庸置疑的
certainly,adv. 当然；行（用于回答）；必定
scattered,adj. 分散的；散乱的
distributed,adj. 分布式的，分散式的
advent,n. 到来；出现；基督降临；基督降临节
arrival,n. 到来；到达；到达者
fragile,adj. 脆的；易碎的
easily damaged,
facilitate,vt. 促进；帮助；使容易
make easier,
sparser,adj. 稀疏的，稀少的( sparse的比较级 )
more thinly distributed,
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
quick,"n. 核心；伤口的嫩肉
adj. 快的；迅速的，敏捷的；灵敏的
adv. 迅速地，快"
intended,"n. 已订婚者
v. 打算；准备（intend的过去分词）
adj. 故意的，有意的；打算中的"
desired,"v. 渴望，要求（desire的过去分词形式）
adj. 渴望的；想得到的"
in principle,"na. 原则上
 大体上；原则性；在原则上"
theoretically,adv. 理论地；理论上
constraint,n.  约束；局促，态度不自然；强制
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
surely,adv. 当然；无疑；坚定地；稳当地
certainly,adv. 当然；行（用于回答）；必定
ideally,adv. 理想地；观念上地
perfectly,adv. 完美地；完全地；无瑕疵地
coupled with,"un. 接在一起
 加上；外加；加之"
added to,"na. 增加
 加上；加入；表示被加上"
consumption,n. 消费；消耗；肺痨
use of products and services,
prosperous,adj. 繁荣的；兴旺的
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
vigorous,adj. 有力的；精力充沛的
strong,"adj. 坚强的；强壮的；牢固的；擅长的
adv. 强劲地；猛烈地"
seldom,adv. 很少，不常
rarely,adv. 很少地；难得；罕有地
invariably,adv. 总是；不变地；一定地
always,adv. 永远，一直；总是；常常
formulated,按配方制造
modified,"adj. 改进的，修改的；改良的
v. 修改；缓和（modify的过去分词）"
deciphering,"n.  解密
v. 破译（decipher的ing形式）；解释；辨认"
figuring out,"na. 估计；解决；了解；确定
 想出；计算出"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
piece,"n. 块；件；篇；硬币
vt. 修补；接合；凑合"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
slow,"adj. 慢的；减速的；迟钝的
vt. 放慢；阻碍
vi. 变慢；变萧条
adv. 慢慢地；迟缓地"
adapt,"vi. 适应
vt. 使适应；改编"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
lethal,"adj. 致命的，致死的
n. 致死因子"
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
disrupted,"破坏
使瓦解
使分裂
使中断
使陷于混乱（disrupt的过去分词形式）"
destroyed,"v. 破坏（destroy的过去分词）
adj. 被毁，毁坏；遭破坏的"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
attraction,n. 吸引，吸引力；引力；吸引人的事物
vicinity,n. 邻近，附近；近处
area,n. 区域，地区；面积；范围
furthermore,adv. 此外；而且
in addition,"na. 加之
 另外；此外；又"
conducive to,"adj. 有助于；有益于
 有利于；对……有益；助长"
favorable to,"un. 赞成
 支持；有利于"
perplexing,adj. 复杂的，令人费解的；令人困惑的
puzzling,adj. 使迷惑的；使莫名其妙的
prevailing,"adj. 流行的；一般的，最普通的；占优势的；盛行很广的
v. 盛行，流行（prevail的现在分词形式）；获胜"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
typified,v. 作为…的典型( typify的过去式和过去分词 ); 具有…的特征; 代表; 象征
characterized,adj. 以…为特点的
coincide with,"v. 与…一致
 与……相符；不谋而合；符合"
correspond to,"v. 符合
 相当于；相应；对应"
apparent,adj. 显然的；表面上的
evident,adj. 明显的；明白的
compelling,"adj. 引人注目的；强制的；激发兴趣的
v. 强迫；以强力获得（compel的ing形式）"
persuasive,adj. 有说服力的；劝诱的，劝说的
hasten,"vt. 加速；使赶紧；催促
vi. 赶快；急忙"
speed up,"na. 加快(机器等的)速度；使加紧做
 加速；加快速度；增加速度"
in essence,"na. 本质上；大体上
 实质上；在本质上；本质上地"
basically,adv. 主要地，基本上
resemble,vt. 类似，像
look like, 看起来与（某人或某物）相像; 很可能出现（某事、做某事）; 伣; 似
lone,adj. 单身的；独自的；寂寞的；人迹稀少的
single,"n. 一个；单打；单程票
adj. 单一的；单身的；单程的
vt. 选出
vi. 击出一垒安打"
confined,"v. 限制（confine的过去式和过去分词）
adj. 狭窄的；幽禁的；有限制的；在分娩中的"
restricted,"v. 限制（restrict的过去式和过去分词）
adj. 受限制的；保密的"
ardent,adj. 热情的；热心的；激烈的；燃烧般的
enthusiastic,adj. 热情的；热心的；狂热的
backing up,"na. 支持；堵塞；抢救后方；把(文件等备份)
 回投；倒车；备份仓库"
supporting,"n. 支持；支承面
v. 支持；供养（support的ing形式）
adj. 支持的；辅助性的；次要的"
scanty,adj. 缺乏的；吝啬的；仅有的；稀疏的
few,"n. 很少数
adj. 很少的；几乎没有的
pron. 很少"
culmination,n. 顶点；高潮
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
fully use,
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
start,"n. 开始；起点
vt. 开始；启动
vi. 出发"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
discarded,"v. 丢弃（discard的过去分词）
adj. 丢弃的；废弃的"
abandoned,"v. 抛弃（abandon的过去式和过去分词）
adj. 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的"
baffled,"v. 阻碍；使迷惑（baffle的过去式）
adj. 带有挡板的"
puzzled,adj. 困惑的；茫然的；搞糊涂的
virtually,adv. 事实上，几乎；实质上
almost completely,
startled,"v. 震惊（startle的过去分词）
adj. 受惊吓的"
surprised,"v. 使惊奇（surprise的过去分词形式）
adj. 感到惊讶的，出人意料的"
rudimentary,adj. 基本的；初步的；退化的；残遗的；未发展的
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
rule out,"na. 排除
 排除…的可能性；划去；拒绝考虑"
exclude,vt. 排除；排斥；拒绝接纳；逐出
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
periodically,adv. 定期地；周期性地；偶尔；间歇
at regular intervals of time,
dispersal,n. 分散；传播；散布；疏散；消失
distribution,n. 分布；分配
configuration,n. 配置；结构；外形
arrangement,n. 布置；整理；准备
