abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
quell,vt. 平息；镇压；减轻；消除
quench,"vt. 熄灭， 淬火；解渴；结束；冷浸
vi. 熄灭；平息"
questionnaire,n. 问卷；调查表
receptive,adj. 善于接受的；能容纳的
refundable,adj. 可退还的；可偿还的
refute,vt. 反驳，驳斥；驳倒
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
regenerate,"vt. 使再生；革新
adj. 再生的；革新的
vi. 再生；革新"
repulsive,adj. 排斥的；令人厌恶的；击退的；冷淡的
retrospective,"n. 回顾展
adj. 回顾的；怀旧的；可追溯的"
reverent,adj. 虔诚的；恭敬的；尊敬的
reversion,n. 逆转；回复；归还； 隔代遗传； 继承权
revile,"vt. 辱骂；斥责
vi. 辱骂；谩骂"
revision,n.  修正；复习；修订本
revitalise,vt. 使有新的活力；使新生（等于revitalize）
righteous,adj. 正义的；正直的；公正的
ripen,"vt. 使成熟
vi. 成熟"
ripple,"n. 波纹；涟漪； 涟波
vt. 在…上形成波痕
vi. 起潺潺声"
rite,n. 仪式；惯例，习俗；典礼
secrete,vt. 藏匿；私下侵吞；分泌
slime,"n. 黏液；烂泥
vt. 涂泥
vi. 变粘滑"
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
strand,"n. 线；串；海滨
vt. 使搁浅；使陷于困境；弄断；使落后
vi. 搁浅"
strap,"n. 带；皮带；磨刀皮带；鞭打
vt. 用带捆绑；用皮条抽打；约束
vi. 精力旺盛地工作；受束缚"
strenuous,adj. 紧张的；费力的；奋发的；艰苦的；热烈的
strife,n. 冲突；争吵；不和
stringent,adj. 严格的；严厉的；紧缩的；短缺的
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
stun,"n. 昏迷；打昏；惊倒；令人惊叹的事物
vt. 使震惊；打昏；给以深刻的印象"
submissive,adj. 顺从的；服从的；柔顺的
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
subsidiary,"n. 子公司；辅助者
adj. 附属的；辅助的"
subsidy,n. 补贴；津贴；补助金
suffrage,n. 选举权；投票；参政权；代祷；赞成票
sullen,adj. 愠怒的，不高兴的；（天气）阴沉的；沉闷的
superfluous,adj. 多余的；不必要的；奢侈的
tenacious,adj. 顽强的；坚韧的；固执的；紧握的；黏着力强的
tenancy,n. 租期；租用
trample,"n. 蹂躏；践踏声
vi. 践踏；蔑视，伤害；脚步沉重地走
vt. 践踏；蔑视，伤害"
trespass,"n. 罪过；非法侵入；过失；擅自进入
vi. 侵入；犯罪；打扰；冒犯"
tricky,adj. 狡猾的；机警的
trifle,"n. 琐事；蛋糕；少量
vt. 浪费；虚度
vi. 开玩笑；闲混；嘲弄"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
trivial,adj. 不重要的，琐碎的；琐细的
trophy,"n. 奖品；战利品；纪念品
vt. 用战利品装饰
adj. 显示身份的；有威望的"
ubiquitous,adj. 普遍存在的；无所不在的
ultrasonic,"n. 超声波
adj.  超声的；超音速的"
unaccountable,adj. 无责任的；莫名其妙的；不可理解的
windfall,n. 意外之财；被风吹落的果子；意外的收获
wither,"vi. 枯萎；凋谢；衰弱
vt. 使凋谢；使畏缩；使衰弱"
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
abbreviation,n. 缩写；缩写词
abstain,vi. 自制；放弃；避免
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
atlas,n. 地图集；寰椎
auditorium,n. 礼堂，会堂；观众席
auspicious,adj. 吉兆的，吉利的；幸运的
austere,adj. 严峻的；简朴的；苦行的；无装饰的
authoritative,adj. 有权威的；命令式的；当局的
autobiography,n. 自传；自传文学
autonomy,n. 自治，自治权
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
avalanche,"n. 雪崩
vt. 雪崩
vi. 崩塌"
avant-garde,"n. 先锋派；前卫派
adj. 前卫的；先锋的"
averse,adj. 反对的；不愿意的
aviator,n. 飞行员
avow,vt. 承认；公开宣称；坦率承认
awe,"n. 敬畏
vt. 使敬畏；使畏怯"
awry,"adj. 错误的；扭曲的
adv. 歪曲地；歪斜地；错误地"
axis,n. 轴；轴线；轴心国
axle,n. 车轴； 轮轴
balcony,n. 阳台；包厢；戏院楼厅
balm,n. 香油；镇痛软膏；香峰草，香树膏
beneficent,adj. 慈善的；善行的
biography,n. 传记；档案；个人简介
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
blemish,"n. 瑕疵；污点；缺点
vt. 玷污；损害；弄脏"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
buoyant,adj. 轻快的；有浮力的；上涨的
bureaucracy,n. 官僚主义；官僚机构；官僚政治
burgeon,"vt. 萌芽, 发芽
n. 芽, 嫩枝
vi. 萌芽, 发芽"
burglar,n. 夜贼，窃贼
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
calamity,n. 灾难；不幸事件
calculus,n.  结石；微积分学
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
consolation,n. 安慰；慰问；起安慰作用的人或事物
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
constraint,n.  约束；局促，态度不自然；强制
contingency,n. 偶然性； 意外事故；可能性； 意外开支；偶然式
continuity,n. 连续性；一连串；分镜头剧本
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
crumb,"n. 面包屑，碎屑；少许
vt. 弄碎；捏碎"
crumple,"n. 皱纹；褶皱
vi. 起皱；倒坍；一蹶不振
vt. 弄皱；使一蹶不振"
cube,"n. 立方；立方体；骰子
vt. 使成立方形；使自乘二次；量…的体积"
cue,"n. 提示，暗示；线索
vt. 给…暗示"
cuisine,n. 烹饪，烹调法
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
cult,n. 祭仪（尤其指宗教上的）；礼拜；狂热信徒
cunning,"n. 狡猾
adj. 狡猾的；巧妙的；可爱的"
curator,n. 馆长；监护人；管理者
custody,n. 保管；监护；拘留；抚养权
cynical,adj. 愤世嫉俗的；冷嘲的
dormant,adj. 休眠的；静止的；睡眠状态的；隐匿的
deceive,v. 欺骗；行骗
dedication,n. 奉献；献身；赠言
deduce,vt. 推论，推断；演绎出
deduct,vt. 扣除，减去；演绎
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
deflate,"vt. 放气；使缩小；紧缩通货；打击；使泄气
vi. 缩小；物价下降"
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
delivery,n.  交付；分娩；递送
depict,vt. 描述；描画
depress,vt. 压抑；使沮丧；使萧条
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
dissemble,"vt. 掩饰，掩盖；假装
vi. 隐藏，掩饰（思想、感情等）"
disseminate,"vt. 宣传，传播；散布
vi. 散布；广为传播"
dissent,"n. 异议；（大写）不信奉国教
vi. 不同意；不信奉国教"
dissertation,n. 论文，专题；学术演讲
dissipate,"vi. 驱散；放荡
vt. 浪费；使…消散"
drainage,n. 排水；排水系统；污水；排水面积
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
dweller,n. 居民，居住者
elasticity,n. 弹性；弹力；灵活性
elicit,vt. 抽出，引出；引起
extol,vt. 颂扬；赞美；赞颂
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
exuberant,adj. 繁茂的；生气勃勃的，充溢的
falcon,n.  猎鹰； 隼
fallacy,n. 谬论，谬误
falter,"n. 踌躇；支吾；颤抖
vi. 支吾；蹒跚地走
vt. 支吾地说；结巴地讲出"
famine,n. 饥荒；饥饿，奇缺
fanatic,"n. 狂热入迷者；盲信者；盲信
adj. 狂热的；盲信的"
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
funnel,"n. 漏斗；烟囱
vt. 通过漏斗或烟囱等；使成漏斗形
vi. 通过漏斗等；成漏斗形"
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
futile,adj. 无用的；无效的；没有出息的；琐细的；不重要的
gaunt,adj. 憔悴的；荒凉的；枯瘦的
gazette,"n. （英）公报；报纸
vt. 在报上刊载"
geometry,"n. 几何学
几何结构"
gut,"n. 内脏；肠子；剧情；胆量；海峡；勇气；直觉；肠
vt. 取出内脏；摧毁（建筑物等）的内部
adj. 简单的；本质的，根本的；本能的，直觉的"
gymnastics,n. 体操；体育；体操运动
hegemony,n. 霸权；领导权；盟主权
hitherto,adv. 迄今；至今
hoist,"n. 起重机；升起，吊起
vt. （用绳索，起重机等）使升起
vi. 升起；吊起"
hypocrite,n. 伪君子；伪善者
hysterical,adj. 歇斯底里的；异常兴奋的
immunity,n. 免疫力；豁免权；免除
impair,vt. 损害；削弱；减少
impetus,n. 动力；促进；冲力
impromptu,"n. 即兴曲；即席演出
adj. 即席的
adv. 即席地"
invariably,adv. 总是；不变地；一定地
inventory,n. 存货，存货清单；详细目录；财产清册
ironic,adj. 讽刺的；反话的
irreversible,adj. 不可逆的；不能取消的；不能翻转的
irrigation,n. 灌溉； 冲洗；冲洗法
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
lust,"n. 性欲；强烈的欲望
vi. 贪求，渴望"
luxurious,adj. 奢侈的；丰富的；放纵的；特级的
lyric,"adj. 抒情的；吟唱的
n. 抒情诗；歌词"
mainstream,n. 主流
malfunction,"vi. 发生故障；不起作用
n. 故障；失灵；疾病"
multinational,"adj. 跨国公司的；多国的
n. 跨国公司"
mummy,n. 妈妈；木乃伊；干瘪的人
mundane,adj. 世俗的，平凡的；世界的，宇宙的
municipal,adj. 市政的，市的；地方自治的
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
oblivious,adj. 遗忘的；健忘的；不注意的；不知道的
obsess,vt. 迷住，缠住；使…着迷；使…困扰
outcast,"n. 流浪的人；被驱逐的人
adj. 被遗弃的；无家可归的；被逐出的"
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
overtime,"n.  加班时间；延长时间；加时赛
adj. 超时的；加班的
vt. 使超过时间
adv. 加班地"
pervert,"n. 堕落者；行为反常者；性欲反常者；变态
vt. 使堕落；滥用；使反常"
pinpoint,"n. 针尖；精确位置；极小之物
vt. 查明；精确地找到；准确描述
adj. 精确的；详尽的"
porch,n. 门廊；走廊
postulate,"n. 基本条件；假定
vt. 假定；要求；视…为理所当然"
projection,n. 投射；规划；突出；发射；推测
prolific,adj. 多产的；丰富的
prolusion,n. 序言
propensity,n. 倾向，习性；癖好，偏爱
prophet,n. 先知；预言者；提倡者
prototype,n. 原型；标准，模范
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
proximity,n. 接近，邻近；接近；接近度，距离；亲近
proxy,n. 代理人；委托书；代用品
prudent,adj. 谨慎的；精明的；节俭的
psyche,n. 灵魂；心智
pulp,"n. 纸浆；果肉；黏浆状物质
vt. 使…化成纸浆；除去…的果肉
vi. 变成纸浆；成为浆状"
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
punctuation,n. 标点；标点符号
puppet,n. 木偶；傀儡；受他人操纵的人
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
rack,"n.  齿条；架子；拷问台
vt. 折磨；榨取
vi. 变形；随风飘；小步跑"
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
rapture,"n. 兴高采烈
vt. 使…狂喜"
resemble,vt. 类似，像
resent,vt. 怨恨；愤恨；厌恶
retract,"n. 收缩核
vt. 缩回；缩进；取消
vi. 缩回；缩进；撤消"
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
revere,vt. 敬畏；尊敬；崇敬
rivalry,n. 竞争；对抗；竞赛
ruby,"n. 红宝石；红宝石色
adj. 红宝石色的
vt. 使带红宝石色"
rudimentary,adj. 基本的；初步的；退化的；残遗的；未发展的
rust,"n. 锈；生锈； 锈病
vt. 使生锈；腐蚀
vi. 生锈；成铁锈色；变迟钝"
seductive,adj. 有魅力的；性感的；引人注意的
segregate,vt. 使隔离；使分离；在…实行种族隔离
slab,"n. 厚板，平板；混凝土路面；厚片
vt. 把…分成厚片；用石板铺"
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
slate,"n. 板岩；石板；蓝色；石片
adj. 板岩的；石板色的
vt. 铺石板；严厉批评某人；计划"
sleek,"adj. 圆滑的；井然有序的
vt. 使…光滑；掩盖
vi. 打扮整洁；滑动"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
supernatural,"n. 超自然现象；不可思议的事
adj. 超自然的；神奇的，不可思议的"
superstition,n. 迷信
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
supposedly,adv. 可能；按照推测；恐怕
surcharge,"n. 超载；额外费
vt. 追加罚款；使…装载过多；使…负担过重"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
surmount,vt. 克服，越过；战胜
surprisingly,adv. 惊人地；出人意料地
surveillance,n. 监督；监视
sustenance,n. 食物；生计；支持
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
swarm,"n. 蜂群；一大群
vi. 挤满；成群浮游；云集
vt. 挤满；爬"
syllabus,n. 教学大纲，摘要；课程表
symbolise,vt. 象征，代表（等于symbolize）
syndrome,n.  综合症状；并发症状；校验子；并发位
synonymous,adj. 同义的；同义词的；同义突变的
synthesis,n. 综合， 合成；综合体
syrup,n. 糖浆，果汁；含药糖浆
tab,"n. 标签；制表；帐单
vt. 给…贴标签"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
tabloid,"n. 小报；药片；文摘；小型画报
adj. 小报式的；缩略的；轰动性的；扼要的"
truce,"n. 停战；休战；休战协定
vt. 以休战结束；停止争执
vi. 停战"
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
turmoil,n. 混乱，骚动
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
undesirable,"n. 不良分子；不受欢迎的人
adj. 不良的；不受欢迎的；不合需要的"
undoubtedly,adv. 确实地，毋庸置疑的
undue,adj. 过度的，过分的；不适当的；未到期的
vacancy,n. 空缺；空位；空白；空虚
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
woo,"vt. 追求；招致；向…求爱；恳求
vi. 求爱；恳求"
woolen,"n. 毛织品
adj. 羊毛的；羊毛制的"
wrath,n. 愤怒；激怒
wreath,"n. 花冠；圈状物
vt. 环绕（等于wreathe）
vi. 盘旋（等于wreathe）"
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
