precise,adj. 精确的；明确的；严格的
out of date,"adj. 过时的；缺乏新信息的；陈腐的；失效的
 过期；过期的；过时了"
by all means,"na. 必定；千方百计；不惜一切；好的
 务必；一定；无论如何"
take charge of,"na. 看守
 负责；担任；主管"
in harmony with,"un. 协调一致地；跟…调和；和衷共济；与…相合
 与…协调；与……协调一致；和谐"
succeed in,"v. 成功于
 在…成功；成功地做；取得成功"
in reality,"na. 事实上；实在
 实际上；在现实中；其实"
put together,"na. 编辑；拼拢；比较考虑；使结婚
 装配；把……放在一起；加在一起"
set down,"na. 记入；登记；定；设
 记下；放下；写下"
settle down,"na. 定居；成家；移居；平静下来
 安下心来；安定下来；安顿下来"
speed up,"na. 加快(机器等的)速度；使加紧做
 加速；加快速度；增加速度"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
 遇见；偶然遇见；碰到"
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
run for,"na. 去叫(…)；做…的候选人
 竞选；让…竞选；竞选职位"
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
 占便宜；充分利用；对……加以利用"
keep in touch, 保持联系；保持联络；再联系
keep in touch with,"v. 与…保持接触
 与……保持联系；和…保持联系；与…保持联络"
range from ... to ...,
pay for,"na. 付开销；赔偿(损失)；(为某种过失)付出代价；吃亏
 付款；付钱；支付"
react against,"na. 反抗
 作出反抗或反对反应；起反作用；人民反抗侵"
be tired of,"v. 厌烦；厌倦
 对…厌倦；对……厌烦；讨厌"
can't help doing sth.,
in need of,"adj. 需要
 急需；缺少；有…的需要"
as far as,"na. 远到；就；尽；至于
 远至；直到；就…而言"
be anxious about,"na. 担忧(某人健康)；害怕(结果)
 焦虑；担心；为…而忧虑"
lead up to,"na. 渐渐诱入；设法引出
 导致；引起；把…一直带领到"
get down to,"v. 认真对待
 开始；着手；着手做"
take off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
join in,"na. 参加；参与
 加入；加盟；参加某种活动"
lift up,"na. 同“lift”；提起来
 举起；抬起；提升"
be associated with,"v. 与…联系
 与……有关；与……有关系；相联系"
compare ... to ...,
look as if,"v. 似乎
 看起来似乎；看起来好像；看起来好象"
tear down,"na. 拆毁；扯下；猛冲
 拆除；拆卸；拆除某物"
log in,"na. 进入电脑工作系统；“log on”的变体
 登录；登入；登陆"
log on,"un. 注册
 登录；登陆；登入"
participate in,"v. 参加；分享
 参与；参加某事；参加例句"
at table,"na. 在吃饭
 在餐桌边；在进餐；在进餐时"
at the bottom of,"un. (是)基本力量；是由于他们引起的；在…的底部
 在……的底部；在底部；在……底端"
stare at,"na. 瞪着看
 凝视；盯着；盯着看"
adjust to,"v. 适应
 调整；调节；调整以适应"
put an end to,"na. 结束
 终止；废除；停止"
yield to,"v. 服从；屈服于；弯曲
 对…屈服；顺从；让步"
in contrast to,"un. 相形之下；与…相比；与…相反；与…对比
 “与……相比；与。。。相反；与……形成对照"
be fond of,"v. 爱好
 喜欢；喜爱；喜好"
as if,"na. 彷佛；活像
 好像；仿佛；似乎"
as though,"na. 好像；见 well 条
 仿佛；好象；似乎"
in addition,"na. 加之
 另外；此外；又"
on the increase, 在增加；正在增加；正在增长
make use of,"na. 使用
 利用；利用某事物；利用好时间"
burst into,"na. 闯进；突然…起来
 闯入；突然发作；突然闯入"
rob sb. of sth.,
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
ask for,"na. 要(价)；来找
 请求；要求；要求得到"
owing to,"conj. 由于；因为
prep. 因为；由于
 归因于；由于…的原因；多亏"
clean up,"na. 收拾干净；改正；赚厚利
 打扫；打扫干净；清除"
keep on,"na. 继续；穿着不脱
 继续不断；穿着...不脱；持续"
remind sb. of sth.,
next to,"prep. 紧邻；在…近旁；仅次于；紧接
 在…旁边；紧挨着；与……相邻"
neither ... nor ...,
lie down,"v. 躺下；不反抗；屈服；顺从
 躺下不干；躺下来；躺倒"
rather than,"na. 而不
 而不是；宁愿；与其"
take possession of,"na. 占领
 占有；拥有；占有，拥有"
all but,"na. 几乎跟…一样
 差一点；除了…都；差不多"
run out,"na. 耗尽；用光；过有效期；失效
 用完；用尽；到期"
trade with,"un. 从事贸易；与…做生意:
 与…进行贸易；与……做生意；贸易与"
on the stage, 在舞台上；当演员；在台上
put away,"v. 把…收起来；储存
 放好；把……收起来；收好"
in order,"na. 整整齐齐；合规则；情况正常；健康
 按顺序；秩序井然；按次序"
set an example to,"v. 给…树立榜样
 为……树立榜样；给……树上榜样；为……榜样"
link to,"un. 同…有联系；与…有牵连
 把……和……联系起来；链接；连结"
make it,"na. 赶到；办成功；规定时间；性交
 做到；达到目的，获得成功"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
sum up,"na. 概括；总结
 总计；归纳；总括"
keep away,"na. 不挨近
 避开；使离开；不接近"
learn from,"v. 学习
 向……学习；向某人学习；从…学习"
point at,"v. 指向
 指着；瞄准；对准"
replace ... with ...,
turn over,"na. ￡ 500 a week 每星期卖得五百镑
 移交；翻转；翻过来"
without delay,"na. 赶快
 马上；立刻；毫不耽搁"
play with,"na. 玩弄(火等)；以…自娱
 玩耍；和……一起玩；和…玩"
in return,"na. 作报复；作替换
 作为回报；作为报答；作为交换"
take command of,"na. 担任指挥
 担任……的指挥；控制；开始控制"
be bored with,"v. 厌烦
 对……厌烦；对……感到厌烦；厌倦"
take action,"na. 动手；采取行动；采取(快速)措施；提起诉讼
 行动起来；采取措施；实施行动"
cut off,"na. 削除；截止；截断(退路等)；割下来
 切断；断绝；切掉"
as for,"na. 至于
 关于；就…而言；对于"
get in touch with,"na. 和…联系
 与…取得联系；与……联系；和……取得联系"
have an effect on,"na. 对…有影响
 对……产生影响；对……产生作用；对……有效果"
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
take turns,"na. 替换
 轮流；轮流换班；轮流做某事"
so long as,"na. 只要；“as/so long as”的变体
 如果；表示只要；只要…就"
be about to do sth.,
be pleased at,"对…感到高兴,喜欢…"
be pleased about,
be pleased with,"na. 喜欢
 对……感到满意；对……满意；对……感到高兴"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
 穿上盛装；装饰；精心打扮"
live up to,"na. 量…过日子；实行(主义等)；够得上；达到预期标准
 不辜负；符合；实践"
wind up,结束；使紧张；卷起；（非正式）忽悠某人（wind sb up）；上紧(钟、表等的)发条
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
 经历；经受；仔细检查"
take control of, 控制；掌管；取得对……的控制
leave for,"un. 到…地方去；去某地:
 动身去；动身去某地；前往"
lie in,"na. 存在于；(分娩后)坐月子
 位于；睡懒觉；躺在"
let alone,"na. 任随；更不用说；放任；莫说…(连)
 更别提；更不必说；不管"
keep pace with,"na. 赶上；保持同步；随着…而增长
 跟…齐步前进；跟上；跟上…的最新发展"
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
up in the air,"na. 悬而未决的
 在云端；挂在空中；型男飞行日记"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
 扔掉；丢弃；丢掉"
cheer up,"v. 鼓舞；振作一点
 振作起来；高兴起来；使高兴起来"
set about,"na. 动手；开始；下手；着手
 散布；着手做某事；开始做"
dare to,"v. 胆敢
 敢于；要敢于；敢于用"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
 除……之外；除...外；除去"
put pressure on,"v. 对…施加压力
 给……施压；给……施加压力；增添压力"
stay up,"na. 不去睡觉；不沉
 熬夜；不睡觉；熬夜，不睡觉"
take ... for example,
major in,"v. 主修
 专修；专攻；以……为专业"
make fun of,"na. 嘲弄
 取笑；嘲笑；开玩笑"
live on,"na. 以…为主食；靠…生活；继续活着；靠［吃］…生活
 以……为主食；靠……为生；以…为食"
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
 拿出；去掉；拿出来"
take pride in,"na. 以…自豪；对…感到满意
 对…感到自豪；以……为自豪；骄傲"
go ahead,"na. 取得进展
 继续；前进；干吧"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
 提前；推荐；表提出"
in view of,"na. 鉴于；为要；在…能看见的地方；估计到才
 考虑到；由于；为了"
expose ... to ...,
look down on,"v. 轻视；看不起
 瞧不起；蔑视；看不起某人"
look away,"na. 把脸转过去
 转移目光；把目光移开；把目光移开去"
as soon as,"na. 一…就；见 soon 条
 一……就；一怎么样就怎么样；一经"
push ahead with, 推进；努力推进；推动
in the way,"na. 在路上；妨碍
 挡道；挡路；妨碍人的"
pull out,"na. 拔(牙等)；把船划出；(车,船等)开出；(人)出发
 拔出；驶出；抽出"
queue up,"n. 长队；车队；辫子
v. 把(头发)梳成辫子；排(成)队
 排队；排队等候；排队等待"
ring up,"v. 在收款机上结算；一段时间内收入或损失的钱；打电话给
 用收银机记录；给……打电话；把记入现金收入记录机"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
 还清；偿还；报复"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
 试用；尝试；考验"
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚; 闹; 罹
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
 赶上；找到；想出某事"
to the point,"na. 露骨；中肯
 切题；切中要害；扼要"
be opposed to,"v. 反对；与…相对
 她不反对必要的改变；强烈地反对；反对老师的观点"
apply for,"v. 寻求；申请
 提出申请；申请…职位；请求"
date from,"v. 回溯到
 始于；追溯；追溯到"
blame sb. for, 因……责备；责怪；因…怪罪
on behalf of,"na. 替；为…的利益
 代表；代表某人；以…名义"
at hand,"na. 在手边；即将到来
 在附近；眼前；近在手边"
by chance,"na. 偶然
 碰巧；偶然地；意外地"
relieve sb. of,"v. 解除
 减轻；消除；减轻……的"
turn up,"v. 朝上翻；出现
 开大；找到；露面"
wander about,"na. 徘徊
 闲逛；漫游；流浪"
wipe out,"na. 擦去；遮蔽；遮蔽地域；封闭
 消灭；彻底摧毁；消灭，毁灭"
run after,"na. 追求；追赶；追捕
 追逐；在……之后跑；跟在后面跑"
be proud of,"na. 以…自豪
 为…自豪；骄傲；以……为骄傲"
in case,"na. 以防万一；作为准备；如果；免得
 假使；假如；以防免得"
take ... into consideration,"v. 顾及
 考虑到；把……考虑进去；予以考虑"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
carry away,"na. 带去；冲走；获得(印象)；使冲昏头脑
 运走；使入迷；使失去自制力"
look in on, 1。 顺便拜访; 2。 短暂拜访; 3。 乘便拜访
look in at,"v. 看
 观看"
on board,"na. 在船上；在车上；出垒
 到船上；上船；已装船"
quarrel with,"na. 和…争论
 吵架；与…吵架；埋怨"
reach out,"na. 伸(手)；伸手(拿…)；(手)伸向前；(草木向…)生长
 伸出；伸出手；伸出双手"
abandon oneself to,"na. 恣意
 陷入；沉湎于；沉溺于"
take ... for granted,"v. 想当然
 认为…理所当然；视为当然；认为…是理所当然"
look through,"na. 浏览；翻查；对…视而不见；看穿
 仔细查看；翻阅；看一遍"
look to,"na. 依赖；注意；照料；倾向…
 指望；照顾；期望"
put back,"v. 放回；推迟
 放回原处；拨回；把……放回原处"
together with,"na. 和…一起
 连同；和...一起；加之"
translate ... into ...,
to the contrary,"na. 反对地
 意思相反的；相反地；正相反"
look over,"na. 浏览；检查；察看
 查看；翻阅；调查"
have faith in,"na. 相信
 信任；对……有信心；信仰"
fill in,"na. 填充；填写；同“fill”
 填满；填入；过门"
be addicted to,"na. 嗜好
 沉溺于；对……上瘾；沉迷于"
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
 撞倒；击倒；击落"
set aside,"na. 搁置；拨出；驳回
 留出；取消；挑出，留出"
take it easy,"na. “take things easy”的变体
 别紧张；别着急；放轻松"
relate to,"na. 有关联；与…有关；理解
 涉及；与…有联系；与……有关联"
regard ... as ...,
wake up,"na. 同“wake”；叫醒；醒来；振作起来
 唤醒；起床；醒醒"
leave off,"na. 戒除；不再穿；休假许可
 停止；中断；停下来"
be short for, 是…的简称；是…的缩写
take away,"adj. 买回去的
 拿走；带走；外带"
carry out,"na. 实行；开展；完成
 执行；实现；贯彻"
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
 减少；减弱；下车"
reckon on,"v. 依赖；寄望于
 指望；依靠；希冀，倚赖"
hand out,"na. 分；拿出来；施舍
 分发；散发；分给"
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
 插嘴；插嘴，打断；超车抢挡"
hand in,"na. 交进
 上交；交上；递交"
as a result,"adv. 结果
 因此；结果是；作为结果"
count on,"na. 指望；预料到；期望
 依靠；依赖；期待"
