fray,"n. 争论；打架；磨损处
vt. 使磨损；变得令人紧张、急躁
vi. 被磨损"
systematise,vt. 使系统化，使成体系
systematize,vt. 使系统化；使组织化；将…分类
tacit,adj. 缄默的；不言而喻的；心照不宣的；默许的
tacitly,adv. 肃静地；沉默地；心照不宣地
taciturn,adj. 沉默寡言的；无言的，不太说话的
tacky,adj. 俗气的；发黏的；缺乏教养或风度的
tactful,adj. 机智的；圆滑的；老练的
tactical,adj. 战术的；策略的；善于策略的
tactician,n. 战术家；谋士
taffeta,"n. 塔夫绸；平纹皱丝织品
adj. 似塔夫绸的；塔夫绸做的"
tailplane,n. （飞机的）横尾翼，水平安定面
takings,n.  收入； 进款
tangent,"n.  切线， 正切
adj. 切线的，相切的；接触的；离题的"
tannic,adj. 单宁的；得自鞣革的
tantalise,vt. 逗弄，引诱，折磨
tantalize,"vt. 逗弄；使干着急
vi. 逗弄人；令人干着急"
taper,"n. 细蜡烛，烛芯；逐渐变弱；锥形物
vi. 逐渐减少；逐渐变弱
vt. 逐渐减少；使成锥形"
tapeworm,n.  绦虫
tart,"n. 果馅饼；妓女
adj. 酸的；锋利的；尖刻的
vt. 打扮"
tartan,"n. 格子呢（苏格兰）
adj. 格子呢的"
tartly,adv. 辛辣地；锋利地
tatters,"n. 破衣服；梭织者；碎片（tatter的复数）
v. 撕碎；把…穿破（tatter的三单形式）"
tattooist,n. 文身的人
taunt,"n. 嘲弄；讥讽
adj. 很高的
vt. 奚落；逗弄"
taut,"adj. 拉紧的；紧张的；整洁的
vt. 使纠缠；使缠结"
tawdry,"n. 俗丽的东西；廉价而俗丽之物
adj. 非常华丽的；廉价而俗丽的"
technicality,n. 学术性；专门性；术语，专门语
technocracy,n. 专家管理；专家政治论，技术统治论
tedium,n. 沉闷；单调乏味；厌烦
tempo,n. 速度，发展速度；拍子
tendon,n.  腱
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
tenuous,adj. 纤细的；稀薄的；贫乏的
terrain,n.  地形，地势；领域；地带
terrestrial,"n. 陆地生物；地球上的人
adj. 地球的；陆地的， 陆生的；人间的"
testator,n. 立遗嘱者
tether,"n. 范围；系链；拴绳
vt. 用绳或链拴住"
textual,adj. 本文的；按原文的
thee,pron. 你（古英语thou的宾格）
thematic,adj. 主题的，主旋律的；题目的；语干的
theologian,n. 神学者；空头理论家
therapeutic,"n. 治疗剂；治疗学家
adj. 治疗的；治疗学的；有益于健康的"
therein,adv. 在其中；在那里
thereto,adv. 另外；到那
thereupon,adv. 于是；随即；关于那，在其上
therewith,adv. 随其；于是；以其；与此
thermocouple,n.  热电偶
thermodynamics,n. 热力学
thermonuclear,adj.  热核的；高热原子核反应的
thicket,n.  灌木丛；丛林；错综复杂
thistle,n.  蓟
threadbare,adj. 磨破的；衣衫褴褛的；乏味的；俗套的
throb,"n. 悸动；脉搏
vi. 悸动；抽动；颤动；跳动着作痛；充满活力"
throttle,"n. 节流阀； 风门；喉咙
vt. 压制，扼杀；使……窒息；使……节流
vi. 节流，减速；窒息"
throughput,n. 生产量，生产能力
thud,"n. 砰的一声；重击
vi. 砰的一声掉下；发出砰声
vt. 砰地击中"
thug,n. 暴徒；恶棍；刺客
thunderclap,n. 霹雳；雷声；晴天霹雳似的消息
thunderous,adj. 像打雷的，隆轰隆响的；多雷的，强有力的
thy,pron. 你的
thyroid,"n. 甲状腺；甲状软骨；甲状腺剂
adj. 甲状腺的；盾状的"
tiara,n. 女式冕状头饰；（罗马教皇的）三重冕
tie-up,n. 联合；联系；协作；业务停顿；停泊处；牛棚
timely,"adj. 及时的；适时的
adv. 及时地；早"
tinder,n. 火绒；易燃物
tinny,adj. 锡的；含锡的；像锡的；有锡味的
tirade,n. 激烈的长篇演说
titan,
tom,n. 汤姆（男子名）
tonal,adj. 色调的；音调的
topographer,n. 地形学者；地志学者
torsion,n. 扭转，扭曲；转矩， 扭力
totalitarian,"n. 极权主义者
adj. 极权主义的"
totalitarianism,n. 极权主义
tract,n. 束；大片土地，地带；小册子
tragedian,n. 悲剧演员；悲剧作家
trample,"n. 蹂躏；践踏声
vi. 践踏；蔑视，伤害；脚步沉重地走
vt. 践踏；蔑视，伤害"
trance,"n. 恍惚；出神；着迷，入迷
vt. 使恍惚；使发呆"
transcend,vt. 胜过，超越
transcendental,adj. 先验的；卓越的， 超越的；超自然的
transcendentalism,n. 超越论；先验论
transcribe,vt. 转录；抄写
transfigure,vt. 使变形；使改观；美化；理想化
transfuse,vt. 输血；灌输；注入
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
translucent,adj. 透明的；半透明的
transmutation,n. 变形；变化；演变
transmute,"vt. 使变形；使变质
vi. 变形；变质"
transpose,"n. 转置阵
vt. 调换；移项；颠倒顺序
vi. 进行变换"
transposition,n.  移项；调换；换置；变调
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
treachery,n. 背叛；变节；背叛行为
treble,"n. 三倍；最高声部
adj. 三倍的；最高声部的；三层的；三重的
vt. 使成三倍
vi. 变成三倍"
tremor,n.  震颤；颤动
trestle,n.  栈桥，高架桥；支架，搁凳
trill,"n. 颤音；啭声；颤声
vt. 用颤音唱；用颤声说
vi. 发出颤音"
trilogy,n. 三部曲；三部剧
trinket,"n. 小装饰品；不值钱的小玩意儿
vi. 密谋"
tripod,n.  三脚架；三脚桌
tripper,n. 远足者；旅行者；绊跌者
trounce,vt. 痛打；严责；打败
trundle,"n. 滚动；小脚轮
vt. 使滚动；运送
vi. 滚动；移动"
tryout,n. 试验；选拔赛；预赛
tuba,n. 大号，低音兼次中音大号；（管风琴的）簧管音栓
tubular,adj. 管状的
tuft,"n. 一簇；丛生植物；一丛
vt. 用丛毛装饰
vi. 丛生"
turbid,adj. 浑浊的；混乱的；雾重的
turbine,n.  涡轮； 涡轮机
turbot,n. 大比目鱼
turnout,n. 产量；出席者；参加人数；出动；清除； 岔道
turret,n. 炮塔；角楼；小塔；攻城用仰冲车
tutelage,n. 监护；指导
twirl,"n. 转动，旋转；旋转的东西；万能钥匙
vt. 使快速转动，使快速旋转；捻弄
vi. 旋转，转动"
twitch,"n. 抽搐；抽动；痉挛；阵痛
vi. 抽搐；抽动；阵痛
vt. 使抽动；攫取；猛拉"
typographical,adj. 印刷上的；排字上的
typography,n. 排印； 活版印刷术；印刷格式
tyrannical,adj. 残暴的；暴君的；专横的
tyrannize,"vt. 施行虐政；欺压
vi. 施行暴政；欺压"
ultrasound,n. 超声；超音波
unabashed,adj. 不害羞的；不畏惧的；厚脸皮的
unabated,adj. 不减弱的，不衰退的
unaccountable,adj. 无责任的；莫名其妙的；不可理解的
unaffected,adj. 不受影响的；自然的；真挚的；不矫揉造作的
unawares,adv. 不知不觉地；出其不意地；不料
unbecoming,adj. 不适当的，不相称的；不合身的，不得体的
uncanny,adj. 神秘的；离奇的；可怕的
unceremonious,adj. 随便的，不拘礼节的；无礼貌的
uncompromising,adj. 不妥协的，不让步的；坚定的
underachieve,vi. 未能充分发挥学习潜力；学习成绩不良
underbrush,n. 林下灌木丛；矮树丛
undercharge,"n. 充电不足；低的索价；填不够量的火药
vt. 充电不足；索价低于常价；弹药装填不足"
undercut,"n. 底切；牛腰部下侧嫩肉；砍口；切球
vt. 廉价出售；较便宜的工资工作；从下边削球
vi. 底切"
underdone,"adj. 半生不熟的；未煮透的
v. 不尽全力做；使…不煮透（underdo的过去分词）"
undergrowth,n. 发育不全；生长在大树下的灌木；动物身上长在长毛下面的浓密绒毛
underhand,"adj. （球赛时投球）下投的；阴险的
adv. 欺诈地；以下手投"
underlie,vt. 成为……的基础；位于……之下
underling,n. 下属，部下；走卒
underpass,n. 地下通道； 下穿交叉道
underprivileged,adj. 贫困的；被剥夺基本权力的；社会地位低下的
undersell,vt. 抛售；以低于市价售出
underside,n. 下面；阴暗面
understudy,"n. 候补演员；替工
vt. 练习代演；当…的替手；实地演习
vi. 学当替工"
underwater,"n. 水下
adj. 在水中的；水面下的
adv. 在水下"
undignified,adj. 不庄重的；无威严的
undreamt-of,adj. 梦想不到的，想象不到的
undue,adj. 过度的，过分的；不适当的；未到期的
undulate,"adj. 波动的；起伏的；波浪形的
vt. 波动；使波动；使起伏；使成波浪形
vi. 起伏，波动；震动；呈波浪形"
unduly,adv. 过度地；不适当地；不正当地
unearth,vt. 发掘；揭露，发现；从洞中赶出
uneconomic,adj. 不经济的；浪费的
unequivocal,adj. 明确的；不含糊的
unethical,adj. 不道德的；缺乏职业道德的
unforeseen,adj. 未预见到的，无法预料的
ungainly,"adj. 笨拙的；不雅的
adv. 笨拙地；不雅地"
ungodly,adj. 邪恶的；不敬畏神的；荒唐的
ungracious,adj. 无礼貌的，没规矩的；没有教养的；讨厌的
ungrateful,adj. 忘恩负义的；不领情的；讨厌的；徒劳的
unicorn,n. 独角兽；麒麟
unilateral,adj. 单边的； 单侧的；单方面的；单边音；（父母）单系的
uninformed,adj. 无知的；未被通知的；未受教育的；不学无术的
unintelligible,adj. 莫名其妙的；无法了解的
uninviting,adj. 讨厌的，无吸引力的；无魅力的
unisex,adj. 男女皆宜的
unison,n. 和谐；齐唱；同度； 同音
unkempt,adj. 蓬乱的，不整洁的；（言语等）粗野的
unlisted,adj. 未上市的；未编入册的
unnerve,vt. 使失去勇气；使身心交疲；使焦躁；使失常
unoccupied,adj. 空闲的；没人住的；未占领的；无人占领的
unorthodox,adj. 非正统的；异端的；异教的
unpalatable,adj. 味道差的，难吃的；讨人厌的，使人不快的
unparalleled,adj. 无比的；无双的；空前未有的
unprejudiced,adj. 没有成见的；公平的；无偏见的
unpretentious,adj. 谦逊的；含蓄的；不炫耀的；不铺张的
unprincipled,adj. 无原则的；不道德的，不正直的；不合人道的
unprofessional,adj. 非职业性的，非专业的；外行的
unqualified,adj. 不合格的；无资格的；不胜任的；不受限制的；无条件的；绝对的
unquestionable,adj. 毫无疑问的；确实的；无可挑剔的
unquestioning,adj. 不提出疑问的；不犹豫的；盲目的；无异议的；无条件的
unremitting,adj. 不懈的；不间断的；坚忍的
unruly,adj. 不守规矩的；任性的；难驾驭的
unscrew,vt. 旋开；旋松；从...旋出螺丝
unseemly,"adj. 不适宜的；不得体的
adv. 不得体地；不适宜地"
unsightly,adj. 难看的；不雅观的
unskilled,"adj. 不熟练的；拙劣的；无需技能的
v. 不熟练；无技能（unskill的过去式和过去分词形式）"
unsociable,adj. 不爱交际的；不与人亲近的；不和气的
unswerving,adj. 坚定的；始终不渝的；不歪的
untenable,adj. （论据等）站不住脚的；不能维持的；不能租赁的；难以防守的
untiring,adj. 不知疲倦的；不屈不挠的；坚持不懈的
untold,adj. 数不清的；未说过的；未透露的；无限的
untouchable,adj. 达不到的；不可批评的；不可捉摸的
untruth,n. 虚假，不真实；谎言
unwieldy,adj. 笨拙的；笨重的；不灵便的；难处理的
unwind,"vt. 放松；解开； 展开
vi. 放松；解开；松开"
unworldly,adj. 非尘世的；精神上的，非物质的；天真的
upcoming,adj. 即将来临的
upfront,"adj. 预付的；在前面的；正直的，坦率的
adv. 在前面；提前支付（工资）"
upholster,vt. 装饰；用（挂毯、家具等）布置；为（沙发等）装上垫子
upkeep,n. 维持；维修费；保养
uplift,"n. 举起，抬起；道德的向上；精神的高涨
vt. 提高；抬起
vi. 提高；上升；升起"
upmarket,"n. 高档商品
adj. 质优价高的；高级的
adv. 在高档之列
vt. 使进入高消费者市场
vi. 进入高消费者市场"
uprising,"n. 起义；升起
v. 起义（uprise的ing形式）；升起
adj. 升起的"
upstart,"n. 暴发户；自命不凡的人；傲慢自负的人
adj. 暴富的；自命不凡的
vt. 使…突然跳起；使…崛起
vi. 突然跳起；崛起"
upstream,"n. 上游部门
adj. 向上游的；逆流而上的
adv. 逆流地；向上游"
uptown,"n. 住宅区
adj. 住宅区的
adv. （美）在住宅区；（美）在城镇非商业区"
urinate,vi. 小便，撒尿
usurer,n. 高利贷者；贷款人
usurp,"vt. 篡夺；夺取；侵占
vi. 篡夺；篡权"
vagrant,"n. 游民；流浪者；无赖；漂泊者
adj. 流浪的；漂泊的；游荡的"
valet,"n. 贴身男仆；用车的人；伺候客人停车
vt. 为...管理衣物；替...洗熨衣服
vi. 清洗汽车；服侍"
valour,n. 勇猛
valor,n. 英勇；勇猛（等于valour）
valve,"n. 阀； 瓣膜；真空管；活门
vt. 装阀于；以活门调节"
vandal,"n. 文化艺术的破坏者；蓄意破坏者
adj. 破坏文化艺术的"
vandalism,n. 汪达尔人作风；故意毁坏文物的行为；破坏他人财产的行为
vanguard,n. 先锋；前锋科学卫星
vanilla,"n. 香子兰，香草
adj. 香草味的"
varicose,adj. 静脉曲张的；曲张的，肿胀的
vat,
veal,n. 小牛（等于vealer）；小牛肉
venereal,adj. 性病的；性交的；由性交传染的
vengeance,n. 复仇；报复；报仇
vengeful,adj. 复仇的，报复的；复仇心重的
venomous,adj. 有毒的；恶毒的；分泌毒液的；怨恨的
ventral,"n. 腹鳍
adj. 腹侧的； 腹部的"
ventricle,n. 室；心室；脑室
ventricular,adj. 心室的；脑室的；膨胀的；腹部的
veritable,adj. 真正的，名副其实的
vermin,n. 害虫；寄生虫；歹徒
vernacular,"n. 本地话，方言；动植物的俗名
adj. 本国的；地方的；用本地语写成的"
vernal,adj. 春天的；和煦的；青春的
vertebrate,"adj. 脊椎动物的；有脊椎的
n. 脊椎动物"
vertex,n. 顶点； 头顶； 天顶
vestige,n. 遗迹；残余；退化的器官
vexation,n. 苦恼；恼怒；令人烦恼的事
vexatious,adj. 令人烦恼的；麻烦的；无理纠缠的
viable,adj. 可行的；能养活的；能生育的
vial,"n. 小瓶；药水瓶
vt. 装入小瓶"
vibes,"n. 共鸣；电颤琴；气氛（vibe的复数）
v. 发生共鸣（vibe的三单形式）"
vicarage,n. 教区牧师的住宅
vicarious,adj. 替代的；代理的；发同感的
vicariously,adv. 代理地，担任代理者地；间接感受到地
victimize,vt. 使受害；使牺牲；欺骗
vignette,"n. 装饰图案；小插图
n. 梗概，简介，花絮
vt. 把……印放为虚光照，晕映"
vindictive,adj. 怀恨的；有报仇心的；惩罚的
viola,n. 中提琴，中提琴演奏者
viral,adj. 病毒性的
virile,adj. 男性的；有男子气概的；刚健的
virtuous,adj. 善良的；有道德的；贞洁的；正直的；有效力的
virulent,adj. 剧毒的；恶性的；有恶意的
visage,n. 面貌，容貌；外表
viscera,n. 内脏；内容（viscus的复数）
viscount,n. （英国的）子爵
visitation,n. 访问；探视；视察；正式访问
vista,n. 远景，狭长的街景；展望；回顾
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
vitalize,vt. 赋予…生命；激发；使有生气
vivacity,n. 活泼；快活；精神充沛
vocalist,n. 歌手；声乐家
vocalization,n. 发声，发音；发声法
vocally,adv. 用声音；口头地
vocative,"n. 呼格
adj. 呼格的；称呼的"
vodka,n. 伏特加酒
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
volatile,"n. 挥发物；有翅的动物
adj.  挥发性的；不稳定的；爆炸性的；反复无常的"
volatility,n.  挥发性；易变；活泼
volitional,adj. 意志的；凭意志的
voluble,adj. 健谈的；缠绕的；易旋转的
voluminous,adj. 大量的；多卷的，长篇的；著书多的
vortex,n.  涡流；漩涡；（动乱，争论等的）中心；旋风
vulgarity,n. 粗俗；粗俗语；粗野的动作
vulture,n. 秃鹰，秃鹫；贪婪的人
wafer,"n. 圆片，晶片；薄片，干胶片；薄饼；圣饼
vt. 用干胶片封"
waltz,"n. 华尔兹舞；华尔兹舞曲
adj. 圆舞曲的；华尔兹舞的
vt. 硬拖；与…跳华尔兹舞
vi. 跳华尔兹舞；旋转；轻快地走动"
wanton,"n. 荡妇；水性杨花的女人
adj. 嬉戏的；繁茂的；荒唐的；无节制的；放纵的
vt. 挥霍
vi. 放肆；嬉戏；闲荡"
warranty,n. 保证；担保；授权；（正当）理由
wary,adj. 谨慎的；机警的；惟恐的；考虑周到的
watertight,adj. 水密的；不漏水的；无懈可击的
watery,adj. 水的；淡的；湿的；松软的；有雨意的
weighty,adj. 重的；重大的；严肃的
whack,"n. 重击；尝试；份儿；机会
vt. 重打；猛击；击败；削减
vi. 重击"
whiff,"n. 一点点；单人小划艇；琴鲆属鱼；吸气或吹气
vt. 吸；喷出
vi. 喷气；垂钓；轻吹"
whimsical,adj. 古怪的；异想天开的；反复无常的
whirlwind,"n. 旋风；旋风般的快速行动
adj. 旋风般的"
whisk,"n. 搅拌器；扫帚；毛掸子
vt. 拂，掸；搅拌；挥动
vi. 飞奔，疾过"
whiten,"vt. 漂白；刷白
vi. 变白"
whitewash,"n. 粉饰；白色涂料；石灰水
vt. 掩饰；把…刷白"
whizz,"n. 专家；精明的人；子弹等在空中掠过的声音（等于whiz）
vt. 飕飕作声（等于whiz）
vi. 飕飕作声（等于whiz）"
