intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
complicate,vt. 使复杂化；使恶化；使卷入
robust,adj. 强健的；健康的；粗野的；粗鲁的
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
athlete,n. 运动员，体育家；身强力壮的人
bidder,n. 投标人；出价人；命令者
broadband,"n. 宽频；宽波段
adj. 宽频带的；宽波段的；宽频通讯的"
clarity,n. 清楚，明晰；透明
costless,adj. 不花钱的；无须付出代价的
disengage,"vt. 使脱离；解开；解除
vi. 脱出；松开"
dweller,n. 居民，居住者
explicitly,adv. 明确地；明白地
fire-prone,容易引发火灾的
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
handsome,adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
illusory,adj. 错觉的；幻影的；虚假的；产生幻觉的
inhabitant,n. 居民；居住者
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
kingdom,n. 王国；界；领域
medication,n. 药物；药物治疗；药物处理
mood,n. 情绪，语气；心境；气氛
offering,"n. 提供；祭品；奉献物；牲礼
v. 提供（offer的ing形式）"
overpack,n. 第二层包装
prairie,n. 大草原；牧场
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
revolutionize,"vt. 发动革命；彻底改革；宣传革命
vi. 革命化；从事革命"
simplify,vt. 简化；使单纯；使简易
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
terrify,vt. 恐吓；使恐怖；使害怕
unintentionally,adv. 无意地；非故意地；非存心地
urgent,adj. 紧急的；急迫的
weapon,n. 武器，兵器
workload,n. 工作量
drawn,"v. 画，绘图（draw的过去分词）
adj. 拔出的"
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
assess,vt. 评定；估价；对…征税
role,n. 角色；任务
postmodern,adj. 后现代的
roll,"n. 卷，卷形物；名单；摇晃
vt. 卷；滚动，转动；辗
vi. 卷；滚动；转动；起伏，摇晃"
spook,"n. 鬼；幽灵
vt. 惊吓；鬼怪般地出没
vi. 受惊"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
spotlight,"n. 聚光灯；反光灯；公众注意的中心
vt. 聚光照明；使公众注意"
conception,n. 怀孕；概念；设想；开始
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
spouse,"n. 配偶
vt. 和…结婚"
pound,"n. 英镑；重击，重击声；兽栏；拘留所
vt. 捣烂；敲打；监禁，拘留
vi. 连续重击，猛击"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
drug,"n. 药；毒品；麻醉药；滞销货
vt. 使服麻醉药；使服毒品；掺麻醉药于
vi. 吸毒"
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍"
millennial,adj. 一千年的；千禧年的
catchword,n. 标语，口号；流行语；口头禅
clear-eyed,adj. 头脑清晰的；视力良好的；有洞察力的
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
impressionable,adj. 敏感的；易受影响的
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
route,"n. 路线；航线；通道
vt. 按某路线发送"
spymaster,n. 间谍组织的首脑
asteroid,"n.  小行星； 海盘车；小游星
adj. 星状的"
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
dumb,adj. 哑的，无说话能力的；不说话的，无声音的
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
astray,"adj. 迷路的；离开正道的；不对头的
adv. 误入歧途地；迷途地；迷路"
precious,adj. 宝贵的；珍贵的；矫揉造作的
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
durable,"n. 耐用品
adj. 耐用的，持久的"
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
predator,n.  捕食者； 食肉动物；掠夺者
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
preface,"n. 前言；引语
vt. 为…加序言；以…开始
vi. 作序"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
prefrontal,"n.  额前骨
adj.  前额的；额叶前部的"
rut,"n. 发情期；惯例；性冲动；凹槽
vt. 挖槽于；在…形成车辙
vi. 发情"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
attitude,n. 态度；看法；意见；姿势
confuse,vt. 使混乱；使困惑
attorney,n. 律师；代理人；检查官
prehistoric,adj. 史前的；陈旧的
airport,n. 机场；航空站
attraction,n. 吸引，吸引力；引力；吸引人的事物
biologist,n. 生物学家
broadly,adv. 明显地；宽广地；概括地；露骨地；粗鄙地
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
democrat,n. 民主党人；民主主义者；民主政体论者
dishonest,adj. 不诚实的；欺诈的
ecology,n. 生态学；社会生态学
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
first-timer,n. 新手
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
happen,vi. 发生；碰巧；偶然遇到
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
location,n. 位置（形容词locational）；地点；外景拍摄场地
member,n. 成员；会员；议员
moola,n. <俚>钞票
offline,"n. 脱机；挂线
adj. 脱机的；离线的，未连线的
adv. 未连线地"
overpay,"vt. 多付；多给报酬
vi. 多付"
phone,"n. 电话；耳机，听筒
vt. 打电话
vi. 打电话"
precondition,"n. 前提；先决条件
vt. 预处理；事先准备"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
rhetoric,"n. 修辞，修辞学；华丽的词藻
adj. 花言巧语的"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
standstill,n. 停顿；停止
sue,"vt. 控告；请求
vi. 控告；提出请求"
terrorist,n. 恐怖主义者，恐怖分子
training,"n. 训练；培养；瞄准；整枝
v. 训练；教养（train的ing形式）"
unity,n. 团结；一致；联合；个体
usefulness,n. 有用；有效性；有益
website,n. 网站（全球资讯网的主机站）
conjunction,n. 结合； 连接词；同时发生
auction,"n. 拍卖
vt. 拍卖；竞卖"
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
audience,n. 观众；听众；读者；接见；正式会见；拜会
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
statistics,n. 统计；统计学； 统计资料
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
status,n. 地位；状态；情形；重要身份
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
authority,n. 权威；权力；当局
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒"
automotive,adj. 汽车的；自动的
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
construct,"n. 构想，概念
vt. 建造，构造；创立"
awake,"adj. 醒着的
vt. 唤醒；使觉醒；激起，唤起
vi. 觉醒，意识到；醒来；被唤起"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
property,n. 性质，性能；财产；所有权
award,"n. 奖品；判决
vt. 授予；判定"
sting,"n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
alarmingly,adv. 惊人地；让人担忧地
attractiveness,n. 吸引力；迷惑力
bite-sized,adj. 很小的
journal,n. 日报，杂志；日记；分类账
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
clear-cut,adj. 清晰的；轮廓鲜明的
connected,"v. 连接（connect的过去式）
adj.  连接的；有联系的；连贯的"
counterproductive,adj. 反生产的；使达不到预期目标的
Denmark,n. 丹麦（欧洲国家）
disrespect,n. 无礼，失礼，不敬
economically,adv. 经济地；在经济上；节俭地
entitlement,n. 权利；津贴
fitter,"n. 装配工
adj. 胜任的；适当的"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
happiness,n. 幸福
immersive,adj. 拟真的；沉浸式的；沉浸感的；增加沉浸感的
initially,adv. 最初，首先；开头
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
logically,adv. 逻辑上；合乎逻辑
off-plan, 楼花；期房
oversee,vt. 监督；审查；俯瞰；偷看到，无意中看到
photograph,"n. 照片，相片
vt. 为…拍照；使深深印入
vi. 拍照；在照片上显得"
province,n. 省；领域；职权
regarding,prep. 关于，至于
strategy,n. 战略，策略
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
skin-deep,adj. 肤浅的；表面的；轻微的
starry,adj. 布满星星的；闪闪发光的；星光照耀的；星形的
thesis,n. 论文；论点
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
unleash,"vt. 发动；解开…的皮带；解除…的束缚
vi. 不受约束；自由自在；放荡不羁"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
worthwhile,adj. 值得做的，值得花时间的
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
rid,vt. 使摆脱；使去掉
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
unemployment,n. 失业；失业率；失业人数
assuage,vt. 平息；缓和；减轻
trillion,"num.  万亿
n.  万亿
adj. 万亿的"
gig,"n. 旋转物；鱼叉；轻便双轮马车；现场演出；临时工作
vt. 使…起绒；用鱼叉叉；记过处分
vi. 乘轻便双轮马车；起绒；叉鱼"
unstoppably,adv. 无法（使）停下来地
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
sail,"n. 帆，篷；航行
vi. 航行；启航，开船
vt. 航行"
prophet,n. 先知；预言者；提倡者
hobby,n. 嗜好；业余爱好
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
mixture,n. 混合；混合物；混合剂
coat,"n. 外套
vt. 覆盖…的表面"
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
iconic,adj. 图标的，形象的
anniversary,n. 周年纪念日
malpractice,n. 玩忽职守；不法行为；治疗不当
accrue,"vt. 获得；积累
vi. 产生；自然增长或利益增加"
insidious,adj. 阴险的；隐伏的；暗中为害的；狡猾的
plurality,n. 多数；复数；兼职；胜出票数
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
worry,"n. 担心；烦恼；撕咬
vi. 担心；烦恼；撕咬
vt. 担心；发愁；折磨"
