discrepancy,n. 不符；矛盾；相差
troupe,"n. 剧团；一班；一团
vi. 巡回演出"
trout,n. 鳟鱼，鲑鱼
truant,"n. 旷课者；懒惰的人
adj. 旷课的；偷懒的
vi. 逃学；偷懒，逃避责任"
truism,n. 自明之理；老生常谈；老套；众所周知；真实性
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
trunk,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内"
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
tuberculosis,n. 肺结核；结核病
tuition,n. 学费；讲授
tummy,n. 肚子；胃
tumour,n.  瘤；肿瘤；肿块
tumult,n. 骚动；骚乱；吵闹；激动
tuna,n. 金枪鱼，鲔鱼
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi.  调谐；协调"
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
turf,"n. 草皮；泥炭；跑马场
vt. 覆草皮于"
turkey,n. 土耳其（横跨欧亚两洲的国家）
turnip,n. 萝卜；芜菁甘蓝，大头菜
turnpike,n.  收费高速公路；收税关卡
turtle,n. 龟，甲鱼；海龟
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
tutorial,"n. 个别指导
adj. 辅导的；家庭教师的，个别指导的"
twig,"n. 小枝；嫩枝；末梢
vt. 理解
vi. 理解"
twilight,"adj. 黎明，黄昏；薄暮；衰退期；朦胧状态
n. 黄昏；薄暮；衰退期；朦胧状态"
typewriter,n. 打字机
typhoon,n.  台风
typical,adj. 典型的；特有的；象征性的
typist,n. 打字员，打字者
tyranny,n. 暴政；专横；严酷；残暴的行为（需用复数）
tyrant,n. 暴君
ultraviolet,"adj. 紫外的；紫外线的
n. 紫外线辐射，紫外光"
unaffected,adj. 不受影响的；自然的；真挚的；不矫揉造作的
unashamed,adj. 无耻的；恬不知耻的；问心无愧的
unaware,"adj. 不知道的，无意的；未察觉到的
adv. 意外地；不知不觉地"
unbearable,adj. 难以忍受的；承受不住的
unbelievable,adj. 难以置信的；不可信的
uncertain,adj. 无常的；含糊的；靠不住的；迟疑不决的
uncompromising,adj. 不妥协的，不让步的；坚定的
unconcern,n. 不关心；不感兴趣；冷淡
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
uncooperative,adj. 不合作的；不配合的
underachieve,vi. 未能充分发挥学习潜力；学习成绩不良
underclass,n. 下层阶级，下层社会；一、二年级学生
underdeveloped,adj. 不发达的
underpass,n. 地下通道； 下穿交叉道
underprivileged,adj. 贫困的；被剥夺基本权力的；社会地位低下的
underside,n. 下面；阴暗面
understandable,adj. 可以理解的；可以了解的
underwater,"n. 水下
adj. 在水中的；水面下的
adv. 在水下"
underwear,n. 内衣物
underworld,n. 黑社会；地狱；下层社会；尘世
undignified,adj. 不庄重的；无威严的
undoubted,adj. 无疑的；确实的
undreamed-of,梦想不到的
undue,adj. 过度的，过分的；不适当的；未到期的
uneasy,adj. 不舒服的；心神不安的；不稳定的
uneatable,adj. 不能吃的，难吃的
unethical,adj. 不道德的；缺乏职业道德的
uneven,adj. 不均匀的；不平坦的； 奇数的
unfaithful,adj. 不忠实的；不诚实的；不准确的
unheard-of,adj. 空前的；前所未闻的
uninformed,adj. 无知的；未被通知的；未受教育的；不学无术的
unisex,adj. 男女皆宜的
unjust,adj. 不公平的，不公正的；非正义的
unkind,adj. 无情的；不仁慈的，不厚道的
unlawful,adj. 非法的；私生的
unoccupied,adj. 空闲的；没人住的；未占领的；无人占领的
unofficial,adj. 非官方的；非正式的
unprecedented,adj. 空前的；无前例的
unpredictable,"n. 不可预言的事
adj. 不可预知的；不定的；出乎意料的"
unprejudiced,adj. 没有成见的；公平的；无偏见的
unprofessional,adj. 非职业性的，非专业的；外行的
unqualified,adj. 不合格的；无资格的；不胜任的；不受限制的；无条件的；绝对的
unquestionable,adj. 毫无疑问的；确实的；无可挑剔的
unquestioning,adj. 不提出疑问的；不犹豫的；盲目的；无异议的；无条件的
unrest,n. 不安；动荡的局面；不安的状态
unskilled,"adj. 不熟练的；拙劣的；无需技能的
v. 不熟练；无技能（unskill的过去式和过去分词形式）"
unsociable,adj. 不爱交际的；不与人亲近的；不和气的
untidy,"adj. 不整洁的，凌乱的；懒散的；不干净利落的，不简练的；不适宜的
v. 使不整洁；使杂乱无章"
untimely,"adj. 不合时宜的；过早的
adv. 不合时宜地；过早地"
untiring,adj. 不知疲倦的；不屈不挠的；坚持不懈的
unwise,adj. 不明智的；愚蠢的；轻率的
uproar,n. 骚动；喧嚣
uptown,"n. 住宅区
adj. 住宅区的
adv. （美）在住宅区；（美）在城镇非商业区"
urine,n. 尿
usher,"n. 引座员，带位员；接待员；门房
vi. 作招待员；当引座员
vt. 引导，招待；迎接；开辟"
utensil,n. 用具，器皿
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
vague,adj. 模糊的；含糊的；不明确的；暧昧的
valentine,n. 情人；情人节礼物
valiant,"n. 勇士；勇敢的人
adj. 英勇的，勇敢的"
valley,n. 山谷；流域；溪谷
van,"n. 先锋；厢式货车；增值网
vt. 用车搬运"
vanity,n. 虚荣心；空虚；浮华；无价值的东西
vase,n. 瓶；花瓶
vegetarian,"n. 素食者；食草动物
adj. 素食的"
vegetation,n. 植被；植物，草木；呆板单调的生活
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
velvet,"adj. 天鹅绒的
n. 天鹅绒，丝绒；天鹅绒似的东西"
vendor,n. 卖主；小贩；供应商； 自动售货机
venue,n. 审判地；犯罪地点；发生地点；集合地点
veranda,n. 走廊，游廊；阳台
verdict,n. 结论；裁定
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
versatile,adj. 多才多艺的；通用的，万能的；多面手的
version,n. 版本；译文；倒转术
versus,prep. 对；与...相对；对抗
vessel,n. 船，舰； 脉管，血管；容器，器皿
vest,"n. 背心；汗衫
vt. 授予；使穿衣
vi. 归属；穿衣服"
vet,"n. 兽医
vt. 审查；诊疗
vi. 作兽医；诊疗"
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
veterinary,"n. 兽医（等于veterinarian）
adj. 兽医的"
vibrant,adj. 振动的；充满生气的；响亮的；战栗的
vicar,n. 教区牧师，教堂牧师；传教牧师；代理人
victim,n. 受害人；牺牲品；牺牲者
victorious,adj. 胜利的；凯旋的
videophone,n. 电视电话
viewfinder,n. 取景器；反光镜；检像器
viewpoint,n. 观点，看法；视角
villa,n. 别墅；郊区住宅
villain,n. 坏人，恶棍；戏剧、小说中的反派角色；顽童；罪犯
vine,"n. 藤；葡萄树；藤本植物；攀缘植物
vi. 长成藤蔓；爬藤"
vinegar,n. 醋
vineyard,n. 葡萄园
vintage,"n. 葡萄收获期；葡萄酒酿造期
adj. 古老的；最佳的；过时的
vt. 采葡萄；用葡萄酿酒
vi. 采葡萄"
violet,"n. 紫罗兰；堇菜；羞怯的人
adj. 紫色的；紫罗兰色的"
violin,n. 小提琴；小提琴手
violinist,n. 小提琴演奏者，小提琴家
virgin,"n. 处女
adj. 处女的；纯洁的；未经利用的，处于原始状态的"
virtually,adv. 事实上，几乎；实质上
virus,n.  病毒；恶毒；毒害
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
vitamin,n.  维生素； 维他命
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
vocation,n. 职业；天职；天命；神召
volcano,n. 火山
volt,n. 伏特（电压单位）；环骑；闪避
voucher,"n. 收据；证人；保证人；证明者；代金
vt. 证实...的可靠性"
vow,"n. 发誓；誓言；许愿
vi. 发誓；郑重宣告
vt. 发誓；郑重宣告"
vowel,"n. 元音；母音
adj. 元音的"
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
vulgar,"n. 平民，百姓
adj. 粗俗的；通俗的；本土的"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
wagon,"n. 货车，四轮马车
vt. 用运货马车运输货物"
waist,n. 腰，腰部
walkway,n. 通道， 走道
walnut,"n. 胡桃；胡桃木
adj. 胡桃科植物的"
waltz,"n. 华尔兹舞；华尔兹舞曲
adj. 圆舞曲的；华尔兹舞的
vt. 硬拖；与…跳华尔兹舞
vi. 跳华尔兹舞；旋转；轻快地走动"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
wardrobe,n. 衣柜；行头；全部戏装
warehouse,n. 仓库；货栈；大商店
warfare,n. 战争；冲突
warhead,n. 弹头
warlike,adj. 战争的；好战的；有战争危险的
warlord,n. 军阀
warmth,n. 温暖；热情；激动
warrior,n. 战士，勇士；鼓吹战争的人
warship,n. 战船， 军舰
wasp,abbr. 盎格鲁撒克逊系的白人新教徒（White Anglo-Saxon Protestant）
watercolor,"n. 水彩画，水彩；水彩颜料
adj. 水彩的，水彩画的"
waterfall,n. 瀑布；瀑布似的东西
waterfront,"n. 滩，海滨；水边
adj. 滨水区的"
waterproof,"n. 防水材料
vt. 使防水
adj. 防水的，不透水的"
watershed,"n. （美）流域；分水岭；集水区；转折点
adj. 标志转折点的"
watertight,adj. 水密的；不漏水的；无懈可击的
waterway,n. 航道；水路；排水沟
wax,"n. 蜡；蜡状物
adj. 蜡制的；似蜡的
vt. 给…上蜡
vi. 月亮渐满；增大"
weaponry,n. 兵器，武器（总称）
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
wed,"vt. 与...结婚；娶；嫁
vi. 结婚；娶；嫁"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
well-being,n. 幸福；康乐
well-known,adj. 著名的；众所周知的；清楚明白的
well-to-do,adj. 小康的；富裕的
westward,"n. 西部；西方
adj. 向西的；西方的
adv. 向西"
wharf,"n. 码头；停泊处
vt. 使靠码头；为…建码头；把货卸在码头上
vi. 靠码头"
wheat,n. 小麦；小麦色
wheel,"n. 车轮；方向盘；转动
vt. 转动；使变换方向；给…装轮子
vi. 旋转；突然转变方向；盘旋飞行"
whereabouts,"n. 下落；行踪；去向；所在之处
adv. 在何处；靠近什么地方"
whereas,conj. 然而；鉴于；反之
whereby,adv. 凭借；通过…；借以；与…一致
whim,n. 奇想；一时的兴致；怪念头；幻想
whisker,n.  晶须；胡须；腮须
whistle,"n. 口哨；汽笛；呼啸声
vt. 吹口哨；鸣汽笛"
wholesale,"n. 批发
adj. 批发的；大规模的
vt. 批发
adv. 大规模地；以批发方式
vi. 批发；经营批发业"
wholesome,adj. 健全的；有益健康的；合乎卫生的；审慎的
wick,"n. 灯芯，蜡烛心
vt. 依靠毛细作用带走"
widen,"vt. 放宽
vi. 变宽"
widow,"n. 寡妇；孀妇
vt. 使成寡妇"
wig,"n. 假发；要人；头脑
vt. 使戴假发；斥责
vi. 激动；发狂"
willow,"n.  柳树； 柳木制品
adj. 柳木制的"
willpower,n. 意志力；毅力
windmill,"n. 风车；风车房；旋转玩具；直升飞机
vt. 使旋转
vi. 作风车般旋转"
windscreen,n. 汽车挡风玻璃
witch,"n. 巫婆，女巫
vt. 迷惑；施巫术"
witty,adj. 诙谐的；富于机智的
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
workbook,n. 工作手册；练习簿
workload,n. 工作量
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
wreath,"n. 花冠；圈状物
vt. 环绕（等于wreathe）
vi. 盘旋（等于wreathe）"
wrestle,"n. 摔跤；搏斗；斗争
vi. 摔跤；斗争；斟酌
vt. 与摔跤；与…搏斗；使劲搬动"
wrestling,"n. 摔跤；扭斗
v. 摔跤；格斗（wrestle的ing形式）；与…摔跤；使劲移动"
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
wrist,"n. 手腕；腕关节
vt. 用腕力移动"
Xerox,
X-ray,
yacht,"n. 游艇，快艇；轻舟
vi. 乘游艇，驾游艇"
yardstick,n. 码尺
yarn,"n. 纱线；奇谈，故事
vt. 用纱线缠
vi. 讲故事"
yeast,n. 酵母；泡沫；酵母片；引起骚动因素
yoghurt,n. 酸奶（等于yoghourt）；酸乳酪
yoghourt,n. 酸奶；酵母乳；酸奶酪
yolk,n. 蛋黄； 卵黄；羊毛脂
youth,n. 青年；青春；年轻；青少年时期
youthful,adj. 年轻的；早期的
yuppie,n. （美）雅皮士（属于中上阶层的年轻专业人士）
zebra,"n.  斑马
adj. 有斑纹的"
zigzag,"n. 之字形；Z字形
vt. 使成之字形；使曲折行进
vi. 曲折行进；作之字形行进
adj. 曲折的；锯齿形的；之字形的
adv. 曲折地；之字形地；Z字形地"
zinc,"n. 锌
vt. 镀锌于…; 在…上镀锌"
zip,"n. 拉链; 精力，活力; 尖啸声; 一种程序压缩格式
vt. 给予…速度; 用拉链拉上或扣上
vt.& vi. 尖啸而过; （使沿某方向）快速移动"
zone,  地带、地区（德语）
zoologist,n. 动物学家
zoology,n. 动物学，动物学课程; （某一地区的）全部动物，（某种动物的）动物特性
abduct,vt. 绑架；诱拐；使外展
abstention,n. 弃权；节制；戒绝
academia,n. 学术界；学术生涯
academic career, 学历；学业；学术生涯
academician,n. 院士；大学生；学会会员；大学教师
academy of sciences,
accredited journalist, 特派记者；特派新闻记者；比如特派记者
advisory body,"un. 咨询团体；顾问团
 咨询机构；顾问机构；咨询机关"
after-sale service,"un. 免费保养服务；售后服务
 售后跟踪；售后品质；关于售后"
air crash,"n. 坠机事件
 空难；飞机失事；飞机坠毁事件"
album,n. 相簿；唱片集；集邮簿；签名纪念册
all-round title,
alumnus,n. 男校友；男毕业生
alumni,n. （统称）校友，毕业生
anti-corruption,n. 反腐败；反贪腐；廉政风暴
argumentative,adj. 好辩的；辩论的；争辩的
assembly hall,"na. 会场；会馆
 礼堂；会议厅；会堂"
assembly line,"na. 装配线
 组装线；流水线；生产线"
assemblyman,n. 议员；装配工
assistant secretary,
assistant secretary of state, 助理国务卿；美国助理国务卿；国务院助理国务卿
atomic nucleus,"na. 原子核
 原子核理论；阳量子炁粒；发音播放"
audience rating,n. 收视率
audiophile,n. 唱片爱好者；爱玩高级音响的人
authoritative information,"na. 官方消息
 权威发布；官方信息"
authoritative source, 权威人士
bachelor mother,；(未正式结过婚的、出于自择的)未婚母亲；(离婚或丧偶后独立抚养子女的) 独身母亲，单身母亲
background briefing,
bacteria,n.  细菌
barrage,"n. 弹幕；阻塞；齐射式攻击； 拦河坝
vt. 以密集炮火进攻
vi. 以密集火力阻击"
beeper,n. 能发出哔哔声音的仪器；导弹遥控员
benchmark,"n. 基准；标准检查程序
vt. 用基准问题测试（计算机系统等）"
benefit concert, 慈善音乐会；义演音乐会；慈善演唱会
bid up price,
big gun,"n. 大人物；有影响力的人物
abbr. (=big bug)
 大枪；大炮；手枪"
big lie, 大骗局；弥天大谎；大谎言
bistro,n. 小酒馆
black box,"n. 黑匣子；黑盒；飞行记录仪
 黑箱；黑盒子；未知框"
black market price,黑市价格
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
blind alley,"n. 死胡同；死路
 死路一条；绝境；绝路"
bloodless coup, 不流血政变；瞡涣餮
claw back,"na. (政府用增税等办法)设法弥补
 夺回；费力收回；追回税款"
clinical trial,"un. 临床试验；临诊试验
 临床实验；临床研究；药物临床试验"
comatose,adj. 昏迷的；昏睡状态的；麻木的；怠惰的
cram,"n. 死记硬背；极度拥挤
adj. 填鸭式学的
vi. 狼吞虎咽地吃东西；死记硬背功课
vt. 填满，塞满；死记硬背；猛吃"
denuclearization,n. 非核化，无核化
denunciation,n. 谴责，斥责；告发
down-to-earth,adj. 实际的；现实的
fever pitch,"n. 高度兴奋；极为激动；狂热
 极度狂热；爱情全垒打；足球热"
footage,n. 英尺长度；连续镜头；以尺计算长度
graffiti,n. 墙上乱写乱画的东西（graffito的复数形式）
handset,n. 手机，电话听筒
hideout,n. 隐匿处
hold off,"na. 拖延；抵抗(进攻等)；使不接近
 推迟；迟疑；延缓"
hole up,"na. 蛰居洞中；躲藏；安置…在避难处；监禁
 龟缩；藏匿；净胜穴数"
in a row,"na. 成一排；连续
 连续的；一连串；接连"
ink,"n. 墨水，墨汁；油墨
vt. 签署；涂墨水于"
